PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
96,Stevenson,D,STE,3,,7.0,6.0,1.0,10.0,35.0,Run,Rush,1.0,Ryan Sedgwick,,,,,,,Adam Oldrati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,14,17,3,3,3,3,,,,,,,
97,Stevenson,D,STE,3,,7.0,7.0,2.0,9.0,34.0,Pass,Complete,6.0,,Ryan Sedgwick,Complete,Steven Smothers,,,,Matt Konzelman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,14,17,3,3,3,3,,,,,,,
98,Stevenson,D,STE,3,,7.0,8.0,3.0,3.0,28.0,Run,Rush,2.0,Matt Goetz,,,,,,,Nick Werkheiser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,14,17,3,3,3,3,,,,,,,
99,Stevenson,D,STE,3,,7.0,9.0,4.0,1.0,26.0,Run,Rush,3.0,Matt Goetz,,,,,,,Brendan Kearns,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,14,17,3,3,3,3,,,,,,,
100,Stevenson,D,STE,3,,7.0,10.0,1.0,10.0,23.0,Run,Rush,3.0,Brandon Walker,,,,,,,Mike Pawlowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,14,17,3,3,3,3,,,,,,,
101,Stevenson,D,STE,3,,7.0,11.0,2.0,7.0,20.0,Pass,Complete,10.0,,Ryan Sedgwick,Complete,Steven Smothers,,,,Mic Schoenleber,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,14,17,3,3,3,3,,,,,,,
102,Stevenson,,STE,3,,,,1.0,10.0,10.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,14,17,3,3,3,3,false start,STE,Cory Jones,,,,5.0
103,Stevenson,D,STE,3,,7.0,12.0,1.0,15.0,15.0,Pass,Incomplete,0.0,,Ryan Sedgwick,Incomplete,,,,,Mike Pawlowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,14,17,3,3,3,3,,,,,,,
104,Stevenson,D,STE,3,,7.0,13.0,2.0,15.0,15.0,Pass,Incomplete,0.0,,Ryan Sedgwick,Incomplete,Cory Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,14,17,3,3,3,3,,,,,,,
105,Stevenson,D,STE,3,,7.0,14.0,3.0,15.0,15.0,Pass,Incomplete,0.0,,Ryan Sedgwick,Incomplete,Brandon Booze,,,,Matt Okuniewski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed FG,15:00,1800,14,17,3,3,3,3,,,,,,,
106,Stevenson,K,STE,3,,,,4.0,15.0,15.0,FG Block,No Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brody Campbell,32.0,No Good,,,,,,,,,,15:00,1800,14,17,3,3,3,3,,,,,,,
107,Stevenson,O,PRIDE,3,,8.0,1.0,0.0,10.0,-20.0,Run,Rush,5.0,Shawn Thompson,,,,,,,Brennen Wright,Josh Siegenthal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:44,1484,17,14,3,3,3,3,,,,,,,
108,Stevenson,O,PRIDE,3,,8.0,2.0,2.0,5.0,-25.0,Run,Rush,0.0,Shawn Thompson,,,,,,,Don Jones,Ethan Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:44,1484,17,14,3,3,3,3,,,,,,,
109,Stevenson,O,PRIDE,3,,8.0,3.0,3.0,5.0,-25.0,Pass,Complete,6.0,,Triston Harris,Complete,Shawn Thompson,,,,Tristan Dye,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:44,1484,17,14,3,3,3,3,,,,,,,
110,Stevenson,O,PRIDE,3,,8.0,4.0,1.0,10.0,-31.0,Pass,Complete,9.0,,Triston Harris,Complete,Joe Bristow,,,,Garston Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:44,1484,17,14,3,3,3,3,,,,,,,
111,Stevenson,O,PRIDE,3,,8.0,5.0,2.0,1.0,-40.0,Pass,Complete,1.0,,Triston Harris,Complete,Joe Bristow,,,,Jacob Baytoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:44,1484,17,14,3,3,3,3,,,,,,,
112,Stevenson,,PRIDE,3,,,,3.0,2.0,-39.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:44,1484,17,14,3,3,3,3,false start,PRIDE,Matthew Thomas,,,,5.0
113,Stevenson,,PRIDE,3,,,,3.0,7.0,-34.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:44,1484,17,14,3,3,3,3,unsportsmanlike conduct,PRIDE,,,,,15.0
114,Stevenson,O,PRIDE,3,,8.0,6.0,3.0,22.0,-19.0,Run,Rush,-3.0,Tahir Cruse,,,,,,,Sean Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,09:44,1484,17,14,3,3,3,3,,,,,,,
115,Stevenson,K,PRIDE,3,,,,4.0,25.0,-16.0,Punt,Blocked,,,,,,,,,,,,,,,,,,,,,,,,,-22.0,Blocked,Tylor Blake,,,,,,,,,,,,,09:44,1484,17,14,3,3,3,3,,,,,,,
116,Stevenson,D,STE,3,,8.0,1.0,0.0,10.0,22.0,Pass,Incomplete,0.0,,Ryan Sedgwick,Incomplete,Tylor Blake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:57,1257,14,17,3,3,3,3,,,,,,,
117,Stevenson,D,STE,3,,8.0,2.0,2.0,10.0,22.0,Run,Rush,0.0,Kevin Joppy,,,,,,,Cade Brennan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:57,1257,14,17,3,3,3,3,,,,,,,
118,Stevenson,D,STE,3,,8.0,3.0,3.0,10.0,22.0,Pass,Incomplete,0.0,,Ryan Sedgwick,Incomplete,Steven Smothers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,05:57,1257,14,17,3,3,3,3,pass interference,PRIDE,,,,,14.0
119,Stevenson,D,STE,3,,8.0,4.0,1.0,8.0,8.0,Pass,Incomplete,0.0,,Ryan Sedgwick,Incomplete,Brandon Booze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,05:57,1257,14,17,3,3,3,3,holding,STE,,pass interference,STE,Cory Jones,15.0
120,Stevenson,D,STE,3,,8.0,5.0,1.0,23.0,23.0,Pass,Incomplete,0.0,,Ryan Sedgwick,Incomplete,Brandon Booze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,05:57,1257,14,17,3,3,3,3,pass interference,PRIDE,,,,,15.0
121,Stevenson,D,STE,3,,8.0,6.0,1.0,8.0,8.0,Run,Rush,-2.0,Brandon Walker,,,,,,,Brayden Strouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:57,1257,14,17,3,3,3,3,,,,,,,
122,Stevenson,D,STE,3,,8.0,7.0,2.0,10.0,10.0,Pass,Incomplete,0.0,,Ryan Sedgwick,Incomplete,Darian Littlejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:57,1257,14,17,3,3,3,3,,,,,,,
123,Stevenson,D,STE,3,,8.0,8.0,3.0,10.0,10.0,Pass,Incomplete,0.0,,Ryan Sedgwick,Incomplete,Brandon Booze,,,,Matt Okuniewski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,05:57,1257,14,17,3,3,3,3,,,,,,,
124,Stevenson,K,STE,3,,,,4.0,10.0,10.0,FG Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brody Campbell,27.0,Good,,,,,,,,,,05:57,1257,14,17,3,3,3,3,,,,,,,
125,Stevenson,K,STE,3,,,,1.0,-35.0,-35.0,KO Ret,,,,,,,,,,,,,,,,,,,,Zachary Rutsch,65.0,0.0,,,,,,,,,,,,,,,,,,,03:51,1131,17,17,0,3,3,3,,,,,,,
126,Stevenson,O,PRIDE,3,,9.0,1.0,0.0,10.0,-25.0,Pass,Interception,0.0,,Triston Harris,Interception,,,Ethan Joseph,,Joe Bristow,,,,,,,Ethan Joseph,0,-30.0,,,,,,,,,,,,,,,,,,,,,Interception,03:51,1131,17,17,0,3,3,3,,,,,,,
127,Stevenson,D,STE,3,,9.0,1.0,0.0,10.0,30.0,Pass,Complete,30.0,,Ryan Sedgwick,Complete,Cory Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,03:47,1127,17,17,0,3,3,3,,,,,,,
128,Stevenson,K,STE,3,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brody Campbell,,,Good,,,,,,,,,03:40,1120,23,17,-6,3,3,3,,,,,,,
129,Stevenson,,STE,3,,,,1.0,-35.0,-35.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:40,1120,24,17,-7,3,3,3,delay of game,STE,Zachary Rutsch,,,,5.0
130,Stevenson,K,STE,3,,,,1.0,10.0,-30.0,KO Ret,Return,,,,,,,,,Anthony Lembo,,,,,,,Jordan Baxter,24,25.0,Zachary Rutsch,69.0,1.0,Return,,,,,,,,,,,,,,,,,,03:40,1120,24,17,-7,3,3,3,,,,,,,
131,Stevenson,O,PRIDE,3,,10.0,1.0,0.0,10.0,-25.0,Run,Rush,8.0,Shawn Thompson,,,,,,,Marvin Manassa,Ethan Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:34,1114,17,24,-7,3,3,3,,,,,,,
132,Stevenson,O,PRIDE,3,,10.0,2.0,2.0,2.0,-33.0,Run,Rush,4.0,Tahir Cruse,,,,,,,Josh Siegenthal,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,03:34,1114,17,24,-7,3,3,3,,,,,,,
133,Stevenson,O,PRIDE,3,,10.0,3.0,1.0,10.0,-37.0,Run,Rush,-2.0,Tahir Cruse,,,,,,,Isaiah Snead,Sean Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:34,1114,17,24,-7,3,3,3,,,,,,,
134,Stevenson,O,PRIDE,3,,10.0,4.0,2.0,12.0,-35.0,Pass,Complete,17.0,,Triston Harris,Complete,James Gillespie,,,,Ethan Joseph,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,03:34,1114,17,24,-7,3,3,3,,,,,,,
135,Stevenson,O,PRIDE,3,,10.0,5.0,1.0,10.0,48.0,Run,Rush,9.0,Tahir Cruse,,,,,,,Cory Nowlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:34,1114,17,24,-7,3,3,3,,,,,,,
136,Stevenson,O,PRIDE,3,,10.0,6.0,2.0,1.0,39.0,Run,Rush,2.0,Tahir Cruse,,,,,,,Brennen Wright,Mario McIntyre,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,03:34,1114,17,24,-7,3,3,3,,,,,,,
137,Stevenson,O,PRIDE,4,,10.0,7.0,1.0,10.0,37.0,Pass,Complete,32.0,,Triston Harris,Complete,Cameron Hooper,,,,Garston Banks,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,900,17,24,-7,3,3,3,,,,,,,
138,Stevenson,O,PRIDE,4,,10.0,8.0,1.0,5.0,5.0,Run,Rush,2.0,Triston Harris,,,,,,,Coli Hirschmann,,True,Triston Harris,Brennen Wright,STE,Ethan Joseph,Ethan Joseph,11,-1.0,,,,,,,,,,,,,,,,,,,,,Fumble,15:00,900,17,24,-7,3,3,3,,,,,,,
139,Stevenson,D,STE,4,,10.0,1.0,0.0,10.0,-12.0,Run,Rush,3.0,Brandon Walker,,,,,,,Mic Schoenleber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:31,871,24,17,-7,3,3,3,,,,,,,
140,Stevenson,D,STE,4,,10.0,2.0,2.0,7.0,-15.0,Run,Rush,6.0,Brandon Walker,,,,,,,Nick Werkheiser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:31,871,24,17,-7,3,3,3,,,,,,,
141,Stevenson,D,STE,4,,10.0,3.0,3.0,1.0,-21.0,Run,Rush,0.0,Ryan Sedgwick,,,,,,,Cade Brennan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:31,871,24,17,-7,3,3,3,,,,,,,
142,Stevenson,K,STE,4,,,,4.0,1.0,-21.0,Punt Ret,Blocked,,,,,,,,,,,,,,,,Dan Dutkiewicz,0,-16.0,,,,,Team punt,,-16.0,Blocked,Colin Murt,,,,,,,,,,,,,14:31,871,24,17,-7,3,3,3,,,,,,,
143,Stevenson,O,PRIDE,4,,11.0,1.0,0.0,10.0,16.0,Run,Rush,16.0,Shawn Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,11:51,711,17,24,-7,3,3,3,,,,,,,
144,Stevenson,K,PRIDE,4,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,11:45,705,23,24,-1,3,3,3,,,,,,,
145,Stevenson,K,PRIDE,4,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,,,,,,,,Cory Jones,0,9.0,,56.0,9.0,Return,,,,,,,,,,,,,,,,,,11:45,705,24,24,0,3,3,3,,,,,,,
146,Stevenson,D,STE,4,,11.0,1.0,0.0,10.0,-9.0,Pass,Incomplete,0.0,,Ryan Sedgwick,Incomplete,Steven Smothers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:20,680,24,24,0,3,3,3,,,,,,,
147,Stevenson,D,STE,4,,11.0,2.0,2.0,10.0,-9.0,Run,Rush,6.0,Brandon Walker,,,,,,, Liberatoscioli,Kevin Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:20,680,24,24,0,3,3,3,,,,,,,
148,Stevenson,D,STE,4,,11.0,3.0,3.0,4.0,-15.0,Pass,Complete,9.0,,Ryan Sedgwick,Complete,Brandon Booze,,,,Matt Okuniewski,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:20,680,24,24,0,3,3,3,,,,,,,
149,Stevenson,D,STE,4,,11.0,4.0,1.0,10.0,-24.0,Run,Rush,2.0,Brandon Walker,,,,,,,Mario Scotese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:20,680,24,24,0,3,3,3,,,,,,,
