,quarter,game_clock,drive_num,drive_count,poss,down,dist,yl,terr,play_type,gain_loss,gnls_to_yl,gnls_to_terr,rusher,run_dir,passer,pass_dir,pass_depth,intended,pass_result,intBy,int_terr,int_yl,pbuBy,hurriedBy,kicker,kick_yards,kick_terr,kick_yl,kick_result,fg_dist,fg_result,xp_type,xp_result,retBy,ret_yards,ret_terr,ret_yl,tackler1,tackler2,fumble_num,fumbleBy,recoveredBy,recovery_team,recov_terr,recov_yl,presnap_pen,penalty,penOn,pen_team,pen_yards,touchdown,no_play,timeout,away_points_on_play,home_points_on_play,away_points,home_points
25,1,12:49,4,8,FMC,3,11,-38,FMC,Run,3.0,41,FMC,Ty Tremba,M,,,,,,,,,,,,,,,,,,,,,,,,Jacob Horton,Brody Robinson,,,,,,,,,,,,,,,0,0,0.0,0.0
26,1,12:49,4,9,FMC,4,8,-41,FMC,Punt,,,,,,,,,,,,,,,,TEAM,,,,Return,,,,,,,,,Jerem Bours Jr.,,,,,LVC,,,,,,,,,,,0,0,0.0,0.0
27,1,12:49,4,10,FMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0
28,1,09:57,5,0,LVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0
29,1,09:57,5,1,LVC,1,10,29,FMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0
30,1,09:57,5,2,LVC,1,10,29,FMC,Run,7.0,22,FMC,Dion Bryant,L,,,,,,,,,,,,,,,,,,,,,,,,Owen Walsh,,,,,,,,,,,,,,,,0,0,0.0,0.0
31,1,09:57,5,3,LVC,2,3,22,FMC,Pass,0.0,,,,,Braden Bohannon,L,,Gabe Iacavone,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0
32,1,09:57,5,4,LVC,3,3,22,FMC,Pass,0.0,,,,,Braden Bohannon,L,,Drew Campbell,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0
33,1,09:05,5,5,LVC,4,3,22,FMC,FG,,,,,,,,,,,,,,,,Tim Kissinger,,,,,40,Good,,,,,,,,,,,,,,,,,,,,,,,0,3,0.0,0.0
34,1,09:05,5,6,LVC,1,35,-35,LVC,Kickoff,,,,,,,,,,,,,,,,Brian Dym,49,FMC,16,Return,,,,,Matt Hanna,17,FMC,33,Jerem Bours Jr.,Alex Brown,,,,,,,,,,,,,,,0,0,0.0,3.0
35,1,09:05,5,7,LVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,3.0
36,1,09:03,6,0,FMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,3.0
37,1,09:03,6,1,FMC,1,10,-33,FMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,3.0
38,1,09:03,6,2,FMC,1,10,-33,FMC,Pass,22.0,45,LVC,,,Ty Tremba,R,,Trey Glass,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,3.0
39,1,09:03,6,3,FMC,1,10,45,LVC,Run,4.0,41,LVC,Mitch Wagner,M,,,,,,,,,,,,,,,,,,,,,,,,Shawn Fester,,,,,,,,,,,,,,,,0,0,0.0,3.0
40,1,09:03,6,4,FMC,2,6,41,LVC,Pass,15.0,26,LVC,,,Ty Tremba,M,,Jack Sutton,Complete,,,,,,,,,,,,,,,,,,,Brent Moody,Taijay Brown,,,,,,,,,,,,,,,0,0,0.0,3.0
41,1,09:03,6,5,FMC,1,10,26,LVC,Run,6.0,20,LVC,Ty Tremba,M,,,,,,,,,,,,,,,,,,,,,,,,Brody Robinson,,,,,,,,,,,,,,,,0,0,0.0,3.0
42,1,09:03,6,6,FMC,2,4,20,LVC,Pass,0.0,,,,,Ty Tremba,M,,Trey Glass,Incomplete,,,,Erik Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,3.0
43,1,09:03,6,7,FMC,3,4,20,LVC,Pass,0.0,,,,,Ty Tremba,R,,Mitch Wagner,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,3.0
44,1,06:37,6,8,FMC,4,4,20,LVC,FG,,,,,,,,,,,,,,,,Laurence Miller,,,,,35,Good,,,,,,,,,,,,,,,,,,,,,,,3,0,0.0,3.0
45,1,06:37,6,9,FMC,1,35,-35,FMC,Kickoff,,,,,,,,,,,,,,,,Laurence Miller,65,LVC,0,Touchback,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,3.0
46,1,06:37,6,10,FMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,3.0
47,1,06:37,7,0,LVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,3.0
48,1,06:37,7,1,LVC,1,10,-25,LVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,3.0
49,1,06:37,7,2,LVC,1,10,-25,LVC,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,False Start,,LVC,5,,,,0,0,3.0,3.0
50,1,06:37,7,3,LVC,1,15,-20,LVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.0,3.0
51,1,06:37,7,4,LVC,1,15,-20,LVC,Run,9.0,29,LVC,Malach Williams,L,,,,,,,,,,,,,,,,,,,,,,,,Dante Medlar,,,,,,,,,,,,,,,,0,0,3.0,3.0
52,1,06:37,7,5,LVC,2,6,-29,LVC,Pass,9.0,38,LVC,,,Braden Bohannon,M,,Jay Sisko,Complete,,,,,,,,,,,,,,,,,,,Matt Scully,,,,,,,,,,,,,,,,0,0,3.0,3.0
53,1,06:37,7,6,LVC,1,10,-38,LVC,Run,4.0,42,LVC,Braden Bohannon,R,,,,,,,,,,,,,,,,,,,,,,,,Dante Medlar,,,,,,,,,,,,,,,,0,0,3.0,3.0
54,1,06:37,7,7,LVC,2,6,-42,LVC,Run,1.0,43,LVC,Malach Williams,M,,,,,,,,,,,,,,,,,,,,,,,,Jacob Hille,,,,,,,,,,,,,,,,0,0,3.0,3.0
55,1,06:37,7,8,LVC,3,5,-43,LVC,Pass,17.0,40,FMC,,,Braden Bohannon,M,,Malach Williams,Complete,,,,,,,,,,,,,,,,,,,Dante Medlar,,,,,,,,,,,,,,,,0,0,3.0,3.0
56,1,06:37,7,9,LVC,1,10,40,FMC,Run,12.0,28,FMC,Dion Bryant,L,,,,,,,,,,,,,,,,,,,,,,,,Dante Medlar,,,,,,,,,,,,,,,,0,0,3.0,3.0
