PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,FDU-Florham,K,FDUTRAV,1,,,,,,,KO Ret,Return,,,,,,,,,J. Swindasz,,,,,,,C. Niemeyer,20,30.0,C. Korchma,55.0,10.0,Return,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,FDU-Florham,O,LVC,1,,1.0,1.0,0.0,10.0,-30.0,Run,Rush,2.0,Tim Ervey,,,,,,,J. Swindasz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,FDU-Florham,O,LVC,1,,1.0,2.0,2.0,8.0,-32.0,Run,Rush,2.0,Tim Ervey,,,,,,,J. Swindasz,J. Randazzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,FDU-Florham,,LVC,1,,,,3.0,6.0,-34.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lebanon Valley,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,FDU-Florham,O,LVC,1,,1.0,3.0,3.0,6.0,-34.0,Run,Rush,12.0,M. Williams,,,,,,,A. Cuzzocrea,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:45,1725,0,0,0,2,2,3,,,,,,,
6,FDU-Florham,O,LVC,1,,1.0,4.0,1.0,10.0,-46.0,Pass,Complete,24.0,,Braden Bohannon,Complete,Jay Sisko,,,,I. Asmani,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:45,1725,0,0,0,2,2,3,,,,,,,
7,FDU-Florham,O,LVC,1,,1.0,5.0,1.0,10.0,30.0,Run,Rush,4.0,M. Williams,,,,,,,J. Randazzo,I. Asmani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:45,1725,0,0,0,2,2,3,,,,,,,
8,FDU-Florham,,LVC,1,,,,2.0,6.0,26.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:45,1725,0,0,0,2,2,3,false start,LVC,,,,,5.0
9,FDU-Florham,O,LVC,1,,1.0,6.0,2.0,11.0,31.0,Pass,Complete,10.0,,Braden Bohannon,Complete,C. Niemeyer,,,,A. Cuzzocrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:45,1725,0,0,0,2,2,3,,,,,,,
10,FDU-Florham,O,LVC,1,,1.0,7.0,3.0,1.0,21.0,Pass,Complete,4.0,,Braden Bohannon,Complete,Andrew Olson,,,,I. Asmani,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:45,1725,0,0,0,2,2,3,,,,,,,
11,FDU-Florham,O,LVC,1,,1.0,8.0,1.0,10.0,17.0,Run,Rush,2.0,Tim Ervey,,,,,,,A. Rajoppi,M. Dougherty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:45,1725,0,0,0,2,2,3,,,,,,,
12,FDU-Florham,O,LVC,1,,1.0,9.0,2.0,8.0,15.0,Pass,Incomplete,0.0,,Braden Bohannon,Incomplete,C. Niemeyer,,,,S. Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:45,1725,0,0,0,2,2,3,,,,,,,
13,FDU-Florham,O,LVC,1,,1.0,10.0,3.0,8.0,15.0,Pass,Complete,8.0,,Braden Bohannon,Complete,C. Niemeyer,,,,A. Cuzzocrea,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:45,1725,0,0,0,2,2,3,,,,,,,
