PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Franklin & Marshall,K,FMC,1,,,,,,,KO Ret,Return,,,,,,,,,Owen Walsh,,,,,,,Dre Burch,12,17.0,J. Rodenberger,60.0,5.0,Return,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Franklin & Marshall,O,LVC,1,,1.0,1.0,0.0,10.0,-17.0,Run,Rush,3.0,Braden Bohannon,,,,,,,Kell Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Franklin & Marshall,O,LVC,1,,1.0,2.0,2.0,7.0,-20.0,Pass,Incomplete,0.0,,Braden Bohannon,Incomplete,Jay Sisko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Franklin & Marshall,O,LVC,1,,1.0,3.0,3.0,7.0,-20.0,Pass,Incomplete,0.0,,Braden Bohannon,Incomplete,Gabe Randall,,,,Calvin Krippner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Franklin & Marshall,K,LVC,1,,,,4.0,7.0,-20.0,Punt,Return,,,,,,,,,,,,,,,,Trey Glass,0,34.0,,,,,B. Brubaker,46.0,34.0,Return,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Franklin & Marshall,D,FMC,1,,1.0,1.0,0.0,10.0,-34.0,Run,Rush,3.0,Keshon Farmer,,,,,,,Shawn Fester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:54,1734,0,0,0,3,3,3,,,,,,,
7,Franklin & Marshall,D,FMC,1,,1.0,2.0,2.0,7.0,-37.0,Run,Rush,-2.0,Keshon Farmer,,,,,,,B. Brubaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:54,1734,0,0,0,3,3,3,,,,,,,
8,Franklin & Marshall,K,FMC,1,,,,3.0,9.0,-35.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,J. Rodenberger,38.0,27.0,,,,,,,,,,,,,,,13:54,1734,0,0,0,3,3,3,,,,,,,
9,Franklin & Marshall,O,LVC,1,,2.0,1.0,0.0,10.0,-27.0,Pass,Incomplete,0.0,,Braden Bohannon,Incomplete,C. Niemeyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:51,1611,0,0,0,3,3,3,,,,,,,
10,Franklin & Marshall,O,LVC,1,,2.0,2.0,2.0,10.0,-27.0,Pass,Incomplete,0.0,,Braden Bohannon,Incomplete,C. Niemeyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:51,1611,0,0,0,3,3,3,,,,,,,
11,Franklin & Marshall,O,LVC,1,,2.0,3.0,3.0,10.0,-27.0,Run,Rush,1.0,Braden Bohannon,,,,,,,Ben Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,11:51,1611,0,0,0,3,3,3,HOLD,LVC,,,,,
12,Franklin & Marshall,K,LVC,1,,,,4.0,9.0,-28.0,Punt,Return,,,,,,,,,B. Brubaker,,,,,,,Trey Glass,14,39.0,,,,,B. Brubaker,47.0,25.0,Return,,,,,,,,,,,,,,11:51,1611,0,0,0,3,3,3,,,,,,,
13,Franklin & Marshall,D,FMC,1,,2.0,1.0,0.0,10.0,-39.0,Run,Rush,25.0,Keshon Farmer,,,,,,,Tom Miller,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:05,1565,0,0,0,3,3,3,,,,,,,
14,Franklin & Marshall,D,FMC,1,,2.0,2.0,1.0,10.0,36.0,Run,Rush,12.0,Keshon Farmer,,,,,,,Grant Gaumer,Erik Williams,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:05,1565,0,0,0,3,3,3,,,,,,,
15,Franklin & Marshall,D,FMC,1,,2.0,3.0,1.0,10.0,24.0,Pass,Incomplete,0.0,,Logan Clouse,Incomplete,Trey Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:05,1565,0,0,0,3,3,3,,,,,,,
16,Franklin & Marshall,D,FMC,1,,2.0,4.0,2.0,10.0,24.0,Run,Rush,4.0,Keshon Farmer,,,,,,,Jake Marcus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:05,1565,0,0,0,3,3,3,,,,,,,
17,Franklin & Marshall,D,FMC,1,,2.0,5.0,3.0,6.0,20.0,Pass,Complete,5.0,,Logan Clouse,Complete,Jack O'Hearen,,,,Grant Gaumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:05,1565,0,0,0,3,3,3,,,,,,,
18,Franklin & Marshall,D,FMC,1,,2.0,6.0,4.0,1.0,15.0,Run,Rush,-1.0,Keshon Farmer,,,,,,,B. Brubaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,11:05,1565,0,0,0,3,3,3,,,,,,,
19,Franklin & Marshall,O,LVC,1,,3.0,1.0,0.0,10.0,-16.0,Run,Rush,1.0,Tim Ervey,,,,,,,Kell Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:28,1408,0,0,0,3,3,3,,,,,,,
20,Franklin & Marshall,,LVC,1,,,,2.0,9.0,-17.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:28,1408,0,0,0,3,3,3,false start,LVC,,,,,5.0
21,Franklin & Marshall,O,LVC,1,,3.0,2.0,2.0,14.0,-12.0,Run,Rush,0.0,Braden Bohannon,,,,,,,Jake Perloski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:28,1408,0,0,0,3,3,3,,,,,,,
22,Franklin & Marshall,O,LVC,1,,3.0,3.0,3.0,14.0,-12.0,Pass,Incomplete,0.0,,Braden Bohannon,Incomplete,Andrew Olson,,,,Dan DiBeneditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,08:28,1408,0,0,0,3,3,3,,,,,,,
23,Franklin & Marshall,K,LVC,1,,,,4.0,14.0,-12.0,Punt,Return,,,,,,,,,Clay Bedi,Cody Shay,,,,,,Trey Glass,9,-40.0,,,,,B. Brubaker,37.0,-49.0,Return,,,,,,,,,,,,,,08:28,1408,0,0,0,3,3,3,,,,,,,
24,Franklin & Marshall,D,FMC,1,,3.0,1.0,0.0,10.0,40.0,Pass,Incomplete,0.0,,Logan Clouse,Incomplete,Tim Walters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:41,1301,0,0,0,3,3,3,,,,,,,
25,Franklin & Marshall,D,FMC,1,,3.0,2.0,2.0,10.0,40.0,Pass,Complete,28.0,,Logan Clouse,Complete,Drew Benfatti,,,,Grant Gaumer,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:41,1301,0,0,0,3,3,3,,,,,,,
26,Franklin & Marshall,D,FMC,1,,3.0,3.0,1.0,10.0,12.0,Run,Rush,8.0,Keshon Farmer,,,,,,,Brad Shear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:41,1301,0,0,0,3,3,3,,,,,,,
27,Franklin & Marshall,D,FMC,1,,3.0,4.0,2.0,2.0,4.0,Run,Rush,2.0,Keshon Farmer,,,,,,,Dillon Estes,Tom Miller,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:41,1301,0,0,0,3,3,3,,,,,,,
28,Franklin & Marshall,D,FMC,1,,3.0,5.0,1.0,2.0,2.0,Run,Rush,1.0,Keshon Farmer,,,,,,,Dillon Estes,Cody Shay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:41,1301,0,0,0,3,3,3,,,,,,,
29,Franklin & Marshall,,FMC,1,,,,2.0,1.0,1.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:41,1301,0,0,0,3,3,3,false start,FMC,,,,,5.0
30,Franklin & Marshall,D,FMC,1,,3.0,6.0,2.0,6.0,6.0,Run,Rush,6.0,Keshon Farmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,06:41,1301,0,0,0,3,3,3,,,,,,,
31,Franklin & Marshall,K,FMC,1,,,,1.0,3.0,3.0,Extra Pt. Block,25,,,,,,,,,blocked by Ryan Eshleman,,,,,,,Logan Grauer,,,,,,,,,,,Ryan Eshleman,Murray McCarthy,,,25,,,,,,,,,04:07,1147,6,0,-6,3,3,3,,,,,,,
32,Franklin & Marshall,K,FMC,1,,,,1.0,-35.0,-35.0,KO Ret,,,,,,,,,,,,,,,,,,,,J. Rodenberger,65.0,0.0,,,,,,,,,,,,,,,,,,,04:07,1147,6,0,-6,3,3,3,,,,,,,
33,Franklin & Marshall,O,LVC,1,,4.0,1.0,0.0,10.0,-25.0,Run,Rush,0.0,Andrew Olson,,,,,,,Kell Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:07,1147,0,6,-6,3,3,3,,,,,,,
34,Franklin & Marshall,O,LVC,1,,4.0,2.0,2.0,10.0,-25.0,Run,Rush,2.0,Tim Ervey,,,,,,,Jake Perloski,Peter Orio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:07,1147,0,6,-6,3,3,3,,,,,,,
35,Franklin & Marshall,O,LVC,1,,4.0,3.0,3.0,8.0,-27.0,Run,Rush,0.0,Braden Bohannon,,,,,,,Calvin Krippner,Luke Strauss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,04:07,1147,0,6,-6,3,3,3,,,,,,,
36,Franklin & Marshall,K,LVC,1,,,,4.0,8.0,-27.0,Punt,Return,,,,,,,,,Cody Shay,Erik Williams,,,,,,Trey Glass,8,-49.0,,,,,B. Brubaker,30.0,43.0,Return,,,,,,,,,,,,,,04:07,1147,0,6,-6,3,3,3,,,,,,,
37,Franklin & Marshall,D,FMC,1,,4.0,1.0,0.0,10.0,49.0,Pass,Complete,7.0,,Logan Clouse,Complete,Tim Walters,,,,Jordan Bowie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:28,1048,6,0,-6,3,3,3,,,,,,,
38,Franklin & Marshall,D,FMC,1,,4.0,2.0,2.0,3.0,42.0,Run,Rush,4.0,Mitch Wagner,,,,,,,Jake Marcus,Brad Shear,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,02:28,1048,6,0,-6,3,3,3,,,,,,,
39,Franklin & Marshall,D,FMC,1,,4.0,3.0,1.0,10.0,38.0,Pass,Complete,20.0,,Logan Clouse,Complete,Trey Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,02:28,1048,6,0,-6,3,3,3,,,,,,,
40,Franklin & Marshall,D,FMC,1,,4.0,4.0,1.0,10.0,18.0,Run,Rush,5.0,Mitch Wagner,,,,,,,B. Brubaker,Dillon Estes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:28,1048,6,0,-6,3,3,3,,,,,,,
41,Franklin & Marshall,D,FMC,2,,4.0,5.0,2.0,5.0,13.0,Pass,Interception,0.0,,Logan Clouse,Interception,,,Brad Shear,,Logan Clouse,,,,,,,Brad Shear,20,10.0,,,,,,,,,,,,,,,,,,,,,Interception,15:00,900,6,0,-6,3,3,3,,,,,,,
42,Franklin & Marshall,O,LVC,2,,5.0,1.0,0.0,10.0,-30.0,Pass,Complete,7.0,,Braden Bohannon,Complete,Jay Sisko,,,,Colin Lavigne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,894,0,6,-6,3,3,3,,,,,,,
43,Franklin & Marshall,O,LVC,2,,5.0,2.0,2.0,3.0,-37.0,Run,Rush,0.0,Ian Murhon,,,,,,,Dan DiBeneditto,Kevonte Beard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,894,0,6,-6,3,3,3,,,,,,,
44,Franklin & Marshall,O,LVC,2,,5.0,3.0,3.0,3.0,-37.0,Run,Rush,20.0,Braden Bohannon,,,,,,,Bobby Buchys,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,894,0,6,-6,3,3,3,,,,,,,
45,Franklin & Marshall,O,LVC,2,,5.0,4.0,1.0,10.0,43.0,Pass,Complete,6.0,,Braden Bohannon,Complete,Jay Sisko,,,,Colin Lavigne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,894,0,6,-6,3,3,3,,,,,,,
46,Franklin & Marshall,O,LVC,2,,5.0,5.0,2.0,4.0,37.0,Pass,Complete,7.0,,Braden Bohannon,Complete,C. Niemeyer,,,,Ben Wright,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,894,0,6,-6,3,3,3,,,,,,,
47,Franklin & Marshall,O,LVC,2,,5.0,6.0,1.0,10.0,30.0,Run,Rush,-2.0,Braden Bohannon,,,,,,,Ben Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,894,0,6,-6,3,3,3,,,,,,,
48,Franklin & Marshall,O,LVC,2,,5.0,7.0,2.0,12.0,32.0,Pass,Complete,10.0,,Braden Bohannon,Complete,Andrew Olson,,,,Dan DiBeneditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,894,0,6,-6,3,3,3,,,,,,,
49,Franklin & Marshall,O,LVC,2,,5.0,8.0,3.0,2.0,22.0,Pass,Incomplete,0.0,,Braden Bohannon,Incomplete,Andrew Olson,,,,Dan DiBeneditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,894,0,6,-6,3,3,3,,,,,,,
50,Franklin & Marshall,,LVC,2,,,,4.0,2.0,22.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lebanon Valley,,,,,,,14:54,894,0,6,-6,3,3,3,,,,,,,
51,Franklin & Marshall,O,LVC,2,,5.0,9.0,4.0,2.0,22.0,Pass,Incomplete,0.0,,Braden Bohannon,Incomplete,,,,,Colin Lavigne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,11:07,667,0,6,-6,2,2,3,,,,,,,
52,Franklin & Marshall,D,FMC,2,,5.0,1.0,0.0,10.0,-22.0,Pass,Complete,13.0,,Logan Clouse,Complete,Trey Glass,,,,Dillon Estes,Grant Gaumer,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:02,662,6,0,-6,2,3,2,,,,,,,
