PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Misericordia,K,LVC,1,,,,,,,KO,Return,,,,,,,,,Ryan Enright,,,,,,,Jordan Fant,21,27.0,Garrett MacClay,59.0,6.0,Return,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Misericordia,D,MIFB,1,,1.0,1.0,0.0,10.0,-27.0,Run,Rush,0.0,Mitchel Micale,,,,,,,Dre Burch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Misericordia,D,MIFB,1,,1.0,2.0,2.0,10.0,-27.0,Run,Rush,4.0,David Cromwell,,,,,,,Tyler Lutz,Dillon Estes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Misericordia,D,MIFB,1,,1.0,3.0,3.0,6.0,-31.0,Pass,Sack,-8.0,,Mitchel Micale,Sack,,,,,Noah Caldani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Misericordia,K,MIFB,1,,,,4.0,14.0,-23.0,Punt Ret,Return,,,,,,,,,Andrew Lee,Mycha Althouse,,,,,,C. Niemeyer,5,46.0,,,,,To Weiskircher,36.0,41.0,Return,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Misericordia,O,LVC,1,,1.0,1.0,0.0,10.0,-46.0,Run,Rush,2.0,Braden Bohannon,,,,,,,Tavion Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:43,1663,0,0,0,3,3,3,,,,,,,
7,Misericordia,O,LVC,1,,1.0,2.0,2.0,8.0,-48.0,Run,Rush,4.0,Braden Bohannon,,,,,,,Andrew Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:43,1663,0,0,0,3,3,3,,,,,,,
8,Misericordia,O,LVC,1,,1.0,3.0,3.0,4.0,48.0,Run,Rush,-1.0,Tim Ervey,,,,,,,Chris Hayes,Mason Geary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,12:43,1663,0,0,0,3,3,3,,,,,,,
9,Misericordia,K,LVC,1,,,,4.0,5.0,49.0,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,Jeremy Bours,27.0,22.0,Fair Catch,,,,,,,,,,,,,,12:43,1663,0,0,0,3,3,3,,,,,,,
10,Misericordia,D,MIFB,1,,2.0,1.0,0.0,10.0,-22.0,Run,Rush,1.0,Ian Rogers,,,,,,,Aviles-Bernal,Brad Shear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:42,1542,0,0,0,3,3,3,,,,,,,
11,Misericordia,D,MIFB,1,,2.0,2.0,2.0,9.0,-23.0,Run,Rush,4.0,Jadyn Childs,,,,,,,Brad Shear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:42,1542,0,0,0,3,3,3,,,,,,,
