PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,PASSER PBP,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Huntingdon,K,BIRMINGH,1,,,,,,,,KO,Return,,,,,,,,,Cole Porch,Seth Gable,,,,,,Kahari McReynol,33,40.0,Cole Porch,58.0,7.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,offside,BIRMINGH,,,,,5.0
2,Huntingdon,,HUNTINGD,1,,,,1.0,10.0,-45.0,Go Zone,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,false start,HUNTINGD,Guy Vilsaint,,,,5.0
3,Huntingdon,D,HUNTINGD,1,,1.0,1.0,0.0,15.0,-40.0,Gold Zone,Run,Rush,5.0,Kahari McReynol,,,,,,,Connor West,Seth Gable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
4,Huntingdon,D,HUNTINGD,1,,1.0,2.0,2.0,10.0,-45.0,Go Zone,Pass,Incomplete,0.0,,Landon Cotney,Incomplete,Malachi Harvey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
5,Huntingdon,D,HUNTINGD,1,,1.0,3.0,3.0,10.0,-45.0,Go Zone,Pass,Complete,12.0,,Landon Cotney,Complete,Sebastian Verge,,,,DJ Albright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
6,Huntingdon,D,HUNTINGD,1,,1.0,4.0,1.0,10.0,43.0,Go Zone,Run,Rush,0.0,Kahari McReynol,,,,,,,Cameron DeArman,Trey Gory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
7,Huntingdon,D,HUNTINGD,1,,1.0,5.0,2.0,10.0,43.0,Go Zone,Run,Rush,-4.0,Landon Cotney,,,,,,,Garrett Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
8,Huntingdon,D,HUNTINGD,1,,1.0,6.0,3.0,14.0,47.0,Go Zone,Pass,Incomplete,0.0,,Landon Cotney,Incomplete,Malachi Harvey,,,,Wes Guilford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:52,1792,0,0,0,3,3,3,,,,,,,
9,Huntingdon,K,HUNTINGD,1,,,,4.0,14.0,47.0,Go Zone,Punt Rec,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Zach Johnson,36.0,11.0,Fair Catch,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
10,Huntingdon,O,BIRMINGH,1,,1.0,1.0,0.0,10.0,-11.0,Coming Out,Run,Rush,17.0,Robert Shufford,,,,,,,Karl Dorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:11,1631,0,0,0,3,3,3,,,,,,,
