PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,PASSER PBP,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Linfield University,K,SJU,1,,,,,,,,KO,Return,,,,,,,,,Conor Pavelko,,,,,,,Connor Morton,65,-31.0,Conor Pavelko,61.0,4.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Linfield University,D,LIN,1,,1.0,1.0,0.0,10.0,31.0,Take A Shot,Pass,Sack,-8.0,,Wyatt Smith,Sack,,,,,Metoriah Faoliu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
3,Linfield University,D,LIN,1,,1.0,2.0,2.0,18.0,39.0,Go Zone,Pass,Sack,-6.0,,Wyatt Smith,Sack,,,,,Michael Wozniak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
4,Linfield University,D,LIN,1,,1.0,3.0,3.0,24.0,45.0,Go Zone,Pass,Complete,15.0,,,Complete,Connor McNabb,,,,Erik Bjork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
5,Linfield University,D,LIN,1,,1.0,4.0,4.0,9.0,30.0,Take A Shot,Pass,Sack,-6.0,,Wyatt Smith,Sack,,,,,Collin Franz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,14:51,1791,0,0,0,3,3,3,,,,,,,
6,Linfield University,O,SJU,1,,1.0,1.0,0.0,10.0,-36.0,Gold Zone,Run,Rush,17.0,Henry Trost,,,,,,,Tyler Bergeron,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:56,1676,0,0,0,3,3,3,,,,,,,
7,Linfield University,O,SJU,1,,1.0,2.0,1.0,10.0,47.0,Go Zone,Run,Rush,1.0,Henry Trost,,,,,,,Ben Baxter,Chase Lydig,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,12:56,1676,0,0,0,3,3,3,offside defense,LIN,Josh Hanigan,,,,5.0
8,Linfield University,O,SJU,1,,1.0,3.0,1.0,5.0,42.0,Go Zone,Run,Rush,1.0,Henry Trost,,,,,,,Tyler Bergeron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:56,1676,0,0,0,3,3,3,,,,,,,
9,Linfield University,O,SJU,1,,1.0,4.0,2.0,4.0,41.0,Go Zone,Run,Rush,2.0,Henry Trost,,,,,,,Tyler Bergeron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:56,1676,0,0,0,3,3,3,,,,,,,
10,Linfield University,O,SJU,1,,1.0,5.0,3.0,2.0,39.0,Go Zone,Run,Rush,-3.0,Chris Backes,,,,,,,,,True,Chris Backes,,SJU,Chris Backes,,,,,,,,,,,,,,,,,,,,,,,,,Punt,12:56,1676,0,0,0,3,3,3,,,,,,,
11,Linfield University,K,SJU,1,,,,4.0,5.0,42.0,Go Zone,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Spencer Ell,30.0,12.0,Fair Catch,,,,,,,,,,,,,,12:56,1676,0,0,0,3,3,3,,,,,,,
12,Linfield University,D,LIN,1,,2.0,1.0,0.0,10.0,-12.0,Coming Out,Pass,Complete,7.0,,,Complete,Joel Valadez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:55,1495,0,0,0,3,3,3,,,,,,,
13,Linfield University,D,LIN,1,,2.0,2.0,2.0,3.0,-19.0,Coming Out,Run,Rush,2.0,Connor McNabb,,,,,,,Seth Morem,Metoriah Faoliu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:55,1495,0,0,0,3,3,3,,,,,,,
