PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,King's (PA),K,KIN,1,,,,,,,KO Ret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_kick,15:00,1800,0,0,0,3,3,3,,,,,,,
2,King's (PA),O,WIL,1,,1.0,1.0,0.0,10.0,-15.0,Run,Rush,-2.0,Jose Tabora,,,,,,,Myles Shelton,Tommy Gilmore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
3,King's (PA),O,WIL,1,,1.0,2.0,2.0,12.0,-13.0,Run,Rush,3.0,Elijah Jules,,,,,,,Tommy Gilmore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
4,King's (PA),O,WIL,1,,1.0,3.0,3.0,9.0,-16.0,Pass,Incomplete,0.0,,Jose Tabora,Incomplete,Nate Whitaker,Teone Sherrod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:51,1791,0,0,0,3,3,3,,,,,,,
5,King's (PA),K,WIL,1,,,,4.0,9.0,-16.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,Alex Orlando,38.0,46.0,,,,,,,,,,,,,,,14:51,1791,0,0,0,3,3,3,,,,,,,
6,King's (PA),D,KIN,1,,1.0,1.0,0.0,10.0,-46.0,Run,Rush,0.0,Shemar Ellis,,,,,,,Dylan Walck,Cole Jesmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:23,1703,0,0,0,3,3,3,,,,,,,
7,King's (PA),D,KIN,1,,1.0,2.0,2.0,10.0,-46.0,Run,Rush,11.0,Gabe Boccella,,,,,,,Oyame Adoga,Cole Jesmer,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:23,1703,0,0,0,3,3,3,,,,,,,
8,King's (PA),D,KIN,1,,1.0,3.0,1.0,10.0,43.0,Pass,Incomplete,0.0,,Tyler Moore,Incomplete,Gabe Boccella,,,Steele Hess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:23,1703,0,0,0,3,3,3,,,,,,,
9,King's (PA),D,KIN,1,,1.0,4.0,2.0,10.0,43.0,Pass,Incomplete,0.0,,Tyler Moore,Incomplete,Gabe Boccella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:23,1703,0,0,0,3,3,3,,,,,,,
10,King's (PA),D,KIN,1,,1.0,5.0,3.0,10.0,43.0,Pass,Complete,0.0,,Tyler Moore,Complete,Gabe Boccella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,13:23,1703,0,0,0,3,3,3,Pass Interference,WIL,,,,,15.0
