PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
105,Misericordia,O,WUFB,3,,9.0,1.0,0.0,10.0,38.0,Run,Rush,4.0,E. Jules,,,,,,,Tavion Rogers,Kobe Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:47,1487,14,0,14,3,3,3,,,,,,,
106,Misericordia,O,WUFB,3,,9.0,2.0,2.0,6.0,34.0,Run,Rush,1.0,K. Reed,,,,,,,Xander Shaner,Andrew Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:47,1487,14,0,14,3,3,3,,,,,,,
107,Misericordia,O,WUFB,3,,9.0,3.0,3.0,5.0,33.0,Run,Rush,17.0,J. Tabora,,,,,,,Tavion Rogers,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:47,1487,14,0,14,3,3,3,,,,,,,
108,Misericordia,O,WUFB,3,,9.0,4.0,1.0,10.0,16.0,Pass,Incomplete,0.0,,J. Tabora,Incomplete,N. Whitaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:47,1487,14,0,14,3,3,3,,,,,,,
109,Misericordia,O,WUFB,3,,9.0,5.0,2.0,10.0,16.0,Pass,Incomplete,0.0,,J. Tabora,Incomplete,J. Schweizerhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:47,1487,14,0,14,3,3,3,,,,,,,
110,Misericordia,O,WUFB,3,,9.0,6.0,3.0,10.0,16.0,Run,Rush,7.0,J. Tabora,,,,,,,John Guszak,T.J. Prather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:47,1487,14,0,14,3,3,3,,,,,,,
111,Misericordia,O,WUFB,3,,9.0,7.0,4.0,3.0,9.0,Run,Rush,0.0,K. Reed,,,,,,,Justin Moreno,Tavion Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,09:47,1487,14,0,14,3,3,3,,,,,,,
112,Misericordia,D,MIFB,3,,10.0,1.0,0.0,10.0,-9.0,Pass,Complete,1.0,,Mitchel Micale,Complete,Michael Gawlik,,,,N. Gazzola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:41,1301,0,14,14,3,3,3,,,,,,,
113,Misericordia,D,MIFB,3,,10.0,2.0,2.0,11.0,-8.0,Pass,Complete,8.0,,Mitchel Micale,Complete,Dwayne Sharpe,,,,S. Hess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:41,1301,0,14,14,3,3,3,,,,,,,
114,Misericordia,D,MIFB,3,,10.0,3.0,3.0,3.0,-16.0,Pass,Complete,4.0,,Mitchel Micale,Complete,Eric Jeffries,,,,N. Woods,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:41,1301,0,14,14,3,3,3,,,,,,,
115,Misericordia,D,MIFB,3,,10.0,4.0,1.0,10.0,-20.0,Run,Rush,15.0,Mitchel Micale,,,,,,,B. Holcomb,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:41,1301,0,14,14,3,3,3,,,,,,,
116,Misericordia,D,MIFB,3,,10.0,5.0,1.0,10.0,-35.0,Pass,Incomplete,0.0,,Mitchel Micale,Incomplete,Willie Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,06:41,1301,0,14,14,3,3,3,offside,WUFB,,,,,5.0
117,Misericordia,D,MIFB,3,,10.0,6.0,1.0,5.0,-40.0,Run,Rush,50.0,David Cromwell,,,,,,,N. Woods,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:41,1301,0,14,14,3,3,3,,,,,,,
118,Misericordia,D,MIFB,3,,10.0,7.0,1.0,10.0,10.0,Run,Rush,-1.0,Mitchel Micale,,,,,,,N. Gazzola,S. Hess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:41,1301,0,14,14,3,3,3,,,,,,,
119,Misericordia,D,MIFB,3,,10.0,8.0,2.0,11.0,11.0,Run,Rush,0.0,Michael Gawlik,,,,,,,J. Washington,D. Gazzola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:41,1301,0,14,14,3,3,3,,,,,,,
120,Misericordia,D,MIFB,3,,10.0,9.0,3.0,11.0,11.0,Pass,Complete,11.0,,Mitchel Micale,Complete,Kevin Pearson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,06:41,1301,0,14,14,3,3,3,,,,,,,
121,Misericordia,K,MIFB,3,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nic Neidlinger,,,Good,,,,,,,,,02:09,1029,6,14,8,3,3,3,,,,,,,
122,Misericordia,K,MIFB,3,,,,1.0,-35.0,-35.0,KO Ret,,,,,,,,,,,,,,,,,,,,Nic Neidlinger,65.0,0.0,,,,,,,,,,,,,,,,,,,02:09,1029,7,14,7,3,3,3,,,,,,,
123,Misericordia,O,WUFB,3,,10.0,1.0,0.0,10.0,-25.0,Pass,Complete,10.0,,J. Tabora,Complete,E. Jules,,,,Evan Rivera,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,02:09,1029,14,7,7,3,3,3,,,,,,,
124,Misericordia,,WUFB,3,,,,1.0,10.0,-35.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:09,1029,14,7,7,3,3,3,false start,WUFB,,,,,5.0
125,Misericordia,O,WUFB,3,,10.0,2.0,1.0,15.0,-30.0,Pass,Complete,24.0,,J. Tabora,Complete,N. Whitaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,02:09,1029,14,7,7,3,3,3,,,,,,,
126,Misericordia,O,WUFB,3,,10.0,3.0,1.0,10.0,46.0,Pass,Complete,17.0,,J. Tabora,Complete,J. Schweizerhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,02:09,1029,14,7,7,3,3,3,,,,,,,
127,Misericordia,O,WUFB,3,,10.0,4.0,1.0,10.0,29.0,Pass,Complete,12.0,,J. Tabora,Complete,E. Jules,,,,Tavion Rogers,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,02:09,1029,14,7,7,3,3,3,,,,,,,
128,Misericordia,O,WUFB,4,,10.0,5.0,1.0,10.0,17.0,Pass,Complete,11.0,,J. Tabora,Complete,E. Jules,,,,Zachary Orzell,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,900,14,7,7,3,3,3,,,,,,,
129,Misericordia,O,WUFB,4,,10.0,6.0,1.0,6.0,6.0,Run,Rush,3.0,E. Jules,,,,,,,Tavion Rogers,Andrew Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,14,7,7,3,3,3,,,,,,,
130,Misericordia,O,WUFB,4,,10.0,7.0,2.0,3.0,3.0,Run,Rush,3.0,E. Jules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,15:00,900,14,7,7,3,3,3,,,,,,,
131,Misericordia,K,WUFB,4,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,J. Pollack,,,Good,,,,,,,,,13:38,818,20,7,13,3,3,3,,,,,,,
132,Misericordia,K,WUFB,4,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,S. Hess,,,,,,,Jadyn Childs,18,30.0,A. Orlando,53.0,12.0,Return,,,,,,,,,,,,,,,,,,13:38,818,21,7,14,3,3,3,,,,,,,
133,Misericordia,D,MIFB,4,,11.0,1.0,0.0,10.0,-30.0,Run,Rush,-7.0,David Cromwell,,,,,,,A. Piston,S. Hess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:33,813,7,21,14,3,3,3,,,,,,,
134,Misericordia,D,MIFB,4,,11.0,2.0,2.0,17.0,-23.0,Pass,Interception,0.0,,Dallas Engel,Interception,,,J. Washington,,,,,,,,,J. Washington,0,-44.0,,,,,,,,,,,,,,,,,,,,,Interception,13:33,813,7,21,14,3,3,3,,,,,,,
135,Misericordia,O,WUFB,4,,11.0,1.0,0.0,10.0,44.0,Run,Rush,5.0,K. Reed,,,,,,,Andrew Lee,Matthew Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:14,794,21,7,14,3,3,3,,,,,,,
136,Misericordia,O,WUFB,4,,11.0,2.0,2.0,5.0,39.0,Run,Rush,6.0,K. Reed,,,,,,,Matthew Carter,Andrew Lee,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:14,794,21,7,14,3,3,3,,,,,,,
137,Misericordia,O,WUFB,4,,11.0,3.0,1.0,10.0,33.0,Run,Rush,-4.0,K. Reed,,,,,,,Tavion Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:14,794,21,7,14,3,3,3,,,,,,,
138,Misericordia,O,WUFB,4,,11.0,4.0,2.0,14.0,37.0,Pass,Complete,13.0,,J. Tabora,Complete,E. Jules,,,,Xander Shaner,Luke Wellman,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,13:14,794,21,7,14,3,3,3,pass interference,WUFB,,,,,15.0
139,Misericordia,O,WUFB,4,,11.0,5.0,2.0,29.0,-48.0,Pass,Complete,6.0,,J. Tabora,Complete,C. Pelzer,,,,Zachary Orzell,Kobe Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:14,794,21,7,14,3,3,3,,,,,,,
140,Misericordia,O,WUFB,4,,11.0,6.0,3.0,23.0,46.0,Pass,Complete,26.0,,J. Tabora,Complete,J. Lilley,,,,Andrew Lee,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:14,794,21,7,14,3,3,3,,,,,,,
141,Misericordia,,WUFB,4,,,,1.0,10.0,20.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilkes University,,,,,,,13:14,794,21,7,14,3,3,3,,,,,,,
142,Misericordia,O,WUFB,4,,11.0,7.0,1.0,10.0,20.0,Pass,Incomplete,0.0,,J. Tabora,Incomplete,J. Lilley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:32,572,21,7,14,2,2,3,,,,,,,
143,Misericordia,O,WUFB,4,,11.0,8.0,2.0,10.0,20.0,Pass,Complete,3.0,,J. Tabora,Complete,J. Schweizerhof,,,,T.J. Prather,Andrew Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:32,572,21,7,14,2,2,3,,,,,,,
144,Misericordia,O,WUFB,4,,11.0,9.0,3.0,13.0,23.0,Run,Rush,7.0,J. Tabora,,,,,,,Dajon Rush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:32,572,21,7,14,2,2,3,,,,,,,
145,Misericordia,O,WUFB,4,,11.0,10.0,4.0,6.0,16.0,Pass,Complete,16.0,,J. Tabora,Complete,J. Schweizerhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,09:32,572,21,7,14,2,2,3,,,,,,,
146,Misericordia,K,WUFB,4,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,J. Pollack,,,Good,,,,,,,,,07:43,463,27,7,20,2,2,3,,,,,,,
147,Misericordia,K,WUFB,4,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,A. Orlando,,,,,,,Carlos Artson,29,43.0,A. Orlando,51.0,14.0,Return,,,,,,,,,,,,,,,,,,07:43,463,28,7,21,2,2,3,,,,,,,
148,Misericordia,D,MIFB,4,,12.0,1.0,0.0,10.0,-43.0,Pass,Incomplete,0.0,,Dallas Engel,Incomplete,Jadyn Childs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:36,456,7,28,21,2,3,2,,,,,,,
149,Misericordia,D,MIFB,4,,12.0,2.0,2.0,10.0,-43.0,Run,Rush,2.0,Michael Gawlik,,,,,,,D. Gazzola,N. Gazzola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:36,456,7,28,21,2,3,2,,,,,,,
150,Misericordia,D,MIFB,4,,12.0,3.0,3.0,8.0,-45.0,Run,Rush,2.0,Dallas Engel,,,,,,,D. Gazzola,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:36,456,7,28,21,2,3,2,personal foul,WUFB,,,,,15.0
151,Misericordia,D,MIFB,4,,12.0,4.0,1.0,10.0,38.0,Run,Rush,15.0,Dallas Engel,,,,,,,J. Washington,D. Gazzola,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:36,456,7,28,21,2,3,2,,,,,,,
152,Misericordia,D,MIFB,4,,12.0,5.0,1.0,10.0,23.0,Run,Rush,1.0,Michael Gawlik,,,,,,,A. Piston,A. Ramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:36,456,7,28,21,2,3,2,,,,,,,
153,Misericordia,D,MIFB,4,,12.0,6.0,2.0,9.0,22.0,Run,Rush,2.0,Dallas Engel,,,,,,,S. Hess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:36,456,7,28,21,2,3,2,,,,,,,
154,Misericordia,D,MIFB,4,,12.0,7.0,3.0,7.0,20.0,Pass,Incomplete,0.0,,Dallas Engel,Incomplete,Willie Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:36,456,7,28,21,2,3,2,,,,,,,
155,Misericordia,D,MIFB,4,,12.0,8.0,4.0,7.0,20.0,Pass,Complete,9.0,,Dallas Engel,Complete,Kevin Pearson,,,,D. Gazzola,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:36,456,7,28,21,2,3,2,,,,,,,
156,Misericordia,D,MIFB,4,,12.0,9.0,1.0,10.0,11.0,Run,Rush,4.0,Dallas Engel,,,,,,,J. Addesso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:36,456,7,28,21,2,3,2,,,,,,,
157,Misericordia,D,MIFB,4,,12.0,10.0,2.0,6.0,7.0,Run,Rush,7.0,David Cromwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,07:36,456,7,28,21,2,3,2,,,,,,,
158,Misericordia,D,MIFB,4,,12.0,11.0,0.0,3.0,3.0,Run,Good,,Dallas Engel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,TD,03:55,235,13,28,15,2,3,2,,,,,,,
159,Misericordia,K,MIFB,4,,,,1.0,-35.0,-35.0,KO Ret,,,,,,,,,,,,,,,,,,,,Nic Neidlinger,,-4.0,,,,,,,,,,,,,,,,,,,03:55,235,15,28,13,2,3,2,,,,,,,
160,Misericordia,O,WUFB,4,,12.0,1.0,0.0,10.0,46.0,Run,Rush,3.0,K. Reed,,,,,,,Andrew Lee,Mason Geary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:54,234,28,15,13,2,2,3,,,,,,,
161,Misericordia,O,WUFB,4,,12.0,2.0,2.0,7.0,43.0,Pass,Complete,43.0,,J. Tabora,Complete,J. Schweizerhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,03:54,234,28,15,13,2,2,3,,,,,,,
162,Misericordia,K,WUFB,4,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,J. Pollack,,,Good,,,,,,,,,03:02,182,34,15,19,2,2,3,,,,,,,
163,Misericordia,,WUFB,4,,,,1.0,-35.0,-35.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:02,182,35,15,20,2,2,3,unsportsmanlike conduct,WUFB,,,,,15.0
