PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Lebanon Valley,K,WUFB,1,,,,,,,KO,Return,,,,,,,,,A. Ramos,,,,,,,Horan Thomas,9,28.0,A. Orlando,46.0,19.0,Return,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Lebanon Valley,D,LVC,1,,1.0,1.0,0.0,10.0,-28.0,Run,Rush,6.0,Braden Bohannon,,,,,,,O. Adoga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Lebanon Valley,D,LVC,1,,1.0,2.0,2.0,4.0,-34.0,Run,Rush,0.0,Tim Ervey,,,,,,,N. Gazzola,C. Rossbotham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Lebanon Valley,D,LVC,1,,1.0,3.0,3.0,4.0,-34.0,Pass,Complete,0.0,,Braden Bohannon,Complete,Tim Ervey,,,,J. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Lebanon Valley,K,LVC,1,,,,4.0,4.0,-34.0,Punt Ret,Return,,,,,,,,,Evan Kutzler,Gabe Randall,,,,,,E. Jules,16,39.0,,,,,Jeremy Bours,43.0,23.0,Return,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Lebanon Valley,O,WUFB,1,,1.0,1.0,0.0,10.0,-39.0,Run,Rush,3.0,K. Reed,,,,,,,Dillon Estes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:44,1664,0,0,0,3,3,3,,,,,,,
7,Lebanon Valley,O,WUFB,1,,1.0,2.0,2.0,7.0,-42.0,Pass,Incomplete,0.0,,J. Tabora,Incomplete,D. Higgins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:44,1664,0,0,0,3,3,3,,,,,,,
8,Lebanon Valley,O,WUFB,1,,1.0,3.0,3.0,7.0,-42.0,Pass,Complete,9.0,,J. Tabora,Complete,C. Pelzer,,,,Ryan Enright,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:44,1664,0,0,0,3,3,3,,,,,,,
9,Lebanon Valley,O,WUFB,1,,1.0,4.0,1.0,10.0,49.0,Pass,Incomplete,0.0,,J. Tabora,Incomplete,J. Schweizerhof,,,,Dillon Estes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:44,1664,0,0,0,3,3,3,,,,,,,
10,Lebanon Valley,O,WUFB,1,,1.0,5.0,2.0,10.0,49.0,Run,Rush,29.0,E. Jules,,,,,,,Evan Kutzler,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:44,1664,0,0,0,3,3,3,,,,,,,
