PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,PASSER PBP,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Ripon College,K,CC,1,,,,,,,,KO,Return,,,,,,,,,,,,,,,,Tiegan Bothun,5,30.0,Adam Mitchell,40.0,25.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Ripon College,D,RC,1,,1.0,1.0,0.0,10.0,-30.0,Gold Zone,Run,Rush,0.0,Connor Ramage,,,,,,,DemariusPittman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Ripon College,,RC,1,,,,2.0,10.0,-30.0,Gold Zone,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,false start,RC,Mason Lesley,,,,5.0
4,Ripon College,D,RC,1,,1.0,2.0,2.0,15.0,-25.0,Coming Out,Pass,Incomplete,0.0,,Jarrett Zibert,Incomplete,,,,,Thomas Horne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Ripon College,D,RC,1,,1.0,3.0,3.0,15.0,-25.0,Coming Out,Run,Rush,12.0,Jarrett Zibert,,,,,,,DemariusPittman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Ripon College,K,RC,1,,,,4.0,3.0,-37.0,Gold Zone,Punt Rec,Return,,,,,,,,,Tyler Bair,Dionisio Herrer,,,,,,Trey Birdsong,,13.0,,,,,,Chase Flink,48.0,15.0,Return,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Ripon College,O,CC,1,,1.0,1.0,0.0,10.0,-13.0,Coming Out,Run,Rush,3.0,Peni Waqairatu,,,,,,,Daylin Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:07,1687,0,0,0,3,3,3,,,,,,,
8,Ripon College,O,CC,1,,1.0,2.0,2.0,7.0,-16.0,Coming Out,Run,Rush,8.0,Isaak Hahn,,,,,,,Brad Guell,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:07,1687,0,0,0,3,3,3,,,,,,,
9,Ripon College,O,CC,1,,1.0,3.0,1.0,10.0,-24.0,Coming Out,Run,Rush,5.0,Peni Waqairatu,,,,,,,Zach Bunders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:07,1687,0,0,0,3,3,3,,,,,,,
10,Ripon College,O,CC,1,,1.0,4.0,2.0,5.0,-29.0,Gold Zone,Run,Rush,6.0,Peni Waqairatu,,,,,,,Clay Ritschard,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:07,1687,0,0,0,3,3,3,,,,,,,
11,Ripon College,O,CC,1,,1.0,5.0,1.0,10.0,-35.0,Gold Zone,Run,Rush,-3.0,Peni Waqairatu,,,,,,,Dylon Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:07,1687,0,0,0,3,3,3,,,,,,,
12,Ripon College,O,CC,1,,1.0,6.0,2.0,13.0,-32.0,Gold Zone,Pass,Complete,8.0,,Isaak Hahn,Complete,Mason Davis,,,,Matt Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:07,1687,0,0,0,3,3,3,,,,,,,
13,Ripon College,O,CC,1,,1.0,7.0,3.0,5.0,-40.0,Gold Zone,Pass,Complete,4.0,,Isaak Hahn,Complete,Peni Waqairatu,,,,Matt Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:07,1687,0,0,0,3,3,3,,,,,,,
14,Ripon College,K,CC,1,,,,4.0,1.0,-44.0,Gold Zone,Punt,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,Isaak Hahn,36.0,20.0,Out of bounds,,,,,,,,,,,,,,13:07,1687,0,0,0,3,3,3,,,,,,,
15,Ripon College,D,RC,1,,2.0,1.0,0.0,10.0,-20.0,Coming Out,Run,Rush,1.0,Connor Ramage,,,,,,,Ben Brassard,J. Sherrill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:52,1432,0,0,0,3,3,3,,,,,,,
16,Ripon College,D,RC,1,,2.0,2.0,2.0,9.0,-21.0,Coming Out,Pass,Complete,12.0,,Jarrett Zibert,Complete,Kapena Magsayo,,,,Sam Adams,Jordan Burke,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:52,1432,0,0,0,3,3,3,,,,,,,
17,Ripon College,D,RC,1,,2.0,3.0,1.0,10.0,-33.0,Gold Zone,Pass,Complete,8.0,,Jarrett Zibert,Complete,Connor Ramage,,,,Sam Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:52,1432,0,0,0,3,3,3,,,,,,,
18,Ripon College,D,RC,1,,2.0,4.0,2.0,2.0,-41.0,Gold Zone,Run,Rush,1.0,Connor Ramage,,,,,,,L. Lockington,J. Buehler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:52,1432,0,0,0,3,3,3,,,,,,,
19,Ripon College,D,RC,1,,2.0,5.0,3.0,1.0,-42.0,Gold Zone,Run,Rush,0.0,Jarrett Zibert,,,,,,,Trey Gohlmann,Thomas Horne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:52,1432,0,0,0,3,3,3,,,,,,,
20,Ripon College,,RC,1,,,,4.0,1.0,-42.0,Gold Zone,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:52,1432,0,0,0,3,3,3,roughing the kicker,CC,,,,,5.0
21,Ripon College,D,RC,1,,2.0,6.0,1.0,10.0,-47.0,Go Zone,Run,Rush,4.0,Connor Ramage,,,,,,,Jordan Burke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:52,1432,0,0,0,3,3,3,,,,,,,
22,Ripon College,,RC,1,,,,2.0,6.0,49.0,Go Zone,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:52,1432,0,0,0,3,3,3,holding,RC,Garrett Doederl,,,,10.0
23,Ripon College,D,RC,1,,2.0,7.0,2.0,16.0,-41.0,Gold Zone,Pass,Complete,15.0,,Jarrett Zibert,Complete,Walter Bryant,,,,J. Buehler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:52,1432,0,0,0,3,3,3,,,,,,,
24,Ripon College,D,RC,1,,2.0,8.0,3.0,1.0,44.0,Go Zone,Pass,Incomplete,0.0,,Jarrett Zibert,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:52,1432,0,0,0,3,3,3,,,,,,,
25,Ripon College,D,RC,1,,2.0,9.0,4.0,1.0,44.0,Go Zone,Pass,Incomplete,0.0,,Jarrett Zibert,Incomplete,,,,,Jordan Burke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,08:52,1432,0,0,0,3,3,3,,,,,,,
26,Ripon College,O,CC,1,,2.0,1.0,0.0,10.0,-44.0,Gold Zone,Run,Rush,2.0,Peni Waqairatu,,,,,,,Daylin Smith,Aryz Terlaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:06,1146,0,0,0,3,3,3,,,,,,,
27,Ripon College,O,CC,1,,2.0,2.0,2.0,8.0,-46.0,Go Zone,Run,Rush,-3.0,Peni Waqairatu,,,,,,,Brad Guell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:06,1146,0,0,0,3,3,3,,,,,,,
