School,Nickname,Location,Conference,Region,Surface,Enrollment,Match,2021 Link,2022 Link
Hiram,Terriers,"Hiram, OH",NCAC,4,Turf,801,Hiram,http://www.hiramterriers.com//sports/football/schedule/2021,http://www.hiramterriers.com//sports/football/schedule/2022
Hobart,Statesmen,"Geneva, NY",LL,2,Turf,2031,Hobart,http://www.hwsathletics.com//sports/football/schedule/2021,http://www.hwsathletics.com//sports/football/schedule/2022
Hope,Flying Dutchmen,"Holland, MI",MIAA,4,Turf,2910,Hope,http://athletics.hope.edu/sports/football/schedule/2021,http://athletics.hope.edu/sports/football/schedule/2022
Howard Payne,Yellow Jackets,"Brownwood, TX",ASC,3,Turf,738,Howard Payne,http://www.hpusports.com/sports/football/schedule/2021,http://www.hpusports.com/sports/football/schedule/2022
Huntingdon,Hawks,"Montgomery, AL",USAC,3,Turf,830,Huntingdon,http://www.huntingdonhawks.com/sports/fball/2021-22/schedule,http://www.huntingdonhawks.com/sports/fball/2022-23/schedule
Husson,Eagles,"Bangor, ME",CCC,1,Turf,2404,Husson,https://husson.prestosports.com/sports/fball/2021-22/schedule,https://husson.prestosports.com/sports/fball/2022-23/schedule
Illinois College,Blueboys,"Jacksonville, IL",MWC,5,Turf,1037,Illinois Col.,http://illinoiscollegeathletics.com/sports/football/schedule/2021,http://illinoiscollegeathletics.com/sports/football/schedule/2022
Illinois Wesleyan,Titans,"Bloomington, IL",CCIW,5,Turf,1610,Ill. Wesleyan,https://www.iwusports.com/sports/football/schedule/2021,https://www.iwusports.com/sports/football/schedule/2022
Ithaca,Bombers,"Ithaca, NY",LL,2,Grass,5735,Ithaca College,http://bombers.ithaca.edu//sports/football/schedule/2021,http://bombers.ithaca.edu//sports/football/schedule/2022
John Carroll,Blue Streaks,"University Heights, OH",OAC,4,Turf,2904,John Carroll,http://www.jcusports.com//sports/football/schedule/2021,http://www.jcusports.com//sports/football/schedule/2022
Johns Hopkins,Blue Jays,"Baltimore, MD",CC,2,Turf,6006,Johns Hopkins,http://www.hopkinssports.com//sports/football/schedule/2021,http://www.hopkinssports.com//sports/football/schedule/2022
Juniata,Eagles,"Huntingdon, PA",CC,2,Turf,1269,Juniata,https://www.juniatasports.net/sports/fball/2021-22/schedule,https://www.juniatasports.net/sports/fball/2022-23/schedule
Kalamazoo,Hornets,"Kalamazoo, MI",MIAA,4,Turf,1256,Kalamazoo,http://hornets.kzoo.edu/sports/fball/2021-22/schedule,http://hornets.kzoo.edu/sports/fball/2022-23/schedule
Kean,Cougars,"Union, NJ",NJAC,2,Turf,9702,KEAN,https://keanathletics.com/sports/football/schedule/2021,https://keanathletics.com/sports/football/schedule/2022
Kenyon,Owls,"Gambier, OH",NCAC,4,Turf,1734,Kenyon,http://athletics.kenyon.edu/sports/football/schedule/2021,http://athletics.kenyon.edu/sports/football/schedule/2022
Keystone,Giants,"La Plume, PA",ECFC,1,Turf,1087,Keystone College,http://www.gokcgiants.com/sports/football/schedule/2021,http://www.gokcgiants.com/sports/football/schedule/2022
King's,Monarchs,"Wilkes-Barre, PA",MAC,1,Turf,2040,King's College,http://www.kingscollegeathletics.com//sports/football/schedule/2021,http://www.kingscollegeathletics.com//sports/football/schedule/2022
Knox,Prairie Fire,"Galesburg, IL",MWC,5,Turf,1223,Knox,http://prairiefire.knox.edu//sports/football/schedule/2021,http://prairiefire.knox.edu//sports/football/schedule/2022
La Verne,Leopards,"La Verne, CA",SCIAC,6,Turf,3353,La Verne,http://www.leopardathletics.com/sports/fball/2021-22/schedule,http://www.leopardathletics.com/sports/fball/2022-23/schedule
LaGrange,Panthers,"LaGrange, GA",USAC,3,Turf,844,LaGrange,http://www.lagrangepanthers.com/sports/fball/2021-22/schedule,http://www.lagrangepanthers.com/sports/fball/2022-23/schedule
