School,Nickname,Location,Conference,Region,Surface,Enrollment,Match,2021 Link,2022 Link
Ursinus,Bears,"Collegeville, PA",CC,2,Turf,1454,Ursinus,http://www.ursinusathletics.com/sports/football/schedule/2021,http://www.ursinusathletics.com/sports/football/schedule/2022
Utica,Pioneers,"Utica, NY",E8,2,Turf,2810,Utica College,http://www.ucpioneers.com/sports/football/schedule/2021,http://www.ucpioneers.com/sports/football/schedule/2022
UW-Eau Claire,Blugolds,"Eau Claire, WI",WIAC,6,Turf,9743,UW-Eau Claire,http://blugolds.com/sports/fball/2021-22/schedule,http://blugolds.com/sports/fball/2022-23/schedule
UW-La Crosse,Eagles,"La Crosse, WI",WIAC,6,Turf,9055,UW-La Crosse,http://www.uwlathletics.com//sports/football/schedule/2021,http://www.uwlathletics.com//sports/football/schedule/2022
UW-Oshkosh,Titans,"Oshkosh, WI",WIAC,6,Turf,8438,UW-Oshkosh,https://uwoshkoshtitans.com/sports/fball/2021-22/schedule,https://uwoshkoshtitans.com/sports/fball/2022-23/schedule
UW-Platteville,Pioneers,"Platteville, WI",WIAC,6,Turf,6457,Wis.-Platteville,https://letsgopioneers.com/sports/fball/2021-22/schedule,https://letsgopioneers.com/sports/fball/2022-23/schedule
UW-River Falls,Falcons,"River Falls, WI",WIAC,6,Turf,4991,UW-River Falls,http://www.uwrfsports.com//sports/football/schedule/2021,http://www.uwrfsports.com//sports/football/schedule/2022
UW-Stevens Point,Pointers,"Stevens Point, WI",WIAC,6,Turf,8332,UW-Stevens Point,http://athletics.uwsp.edu//sports/football/schedule/2021,http://athletics.uwsp.edu//sports/football/schedule/2022
UW-Stout,Blue Devils,"Menomonie, WI",WIAC,6,Turf,6825,UW-Stout,http://athletics.uwstout.edu//sports/football/schedule/2021,http://athletics.uwstout.edu//sports/football/schedule/2022
UW-Whitewater,Warhawks,"Whitewater, WI",WIAC,6,Turf,9488,Wis.-Whitewater,http://www.uwwsports.com/sports/football/schedule/2021,http://www.uwwsports.com/sports/football/schedule/2022
Wabash,Little Giants,"Crawfordsville, IN",NCAC,4,Turf,868,Wabash College,http://sports.wabash.edu/sports/football/schedule/2021,http://sports.wabash.edu/sports/football/schedule/2022
Wartburg,Knights,"Waverly, IA",ARC,5,Turf,1461,Wartburg,https://go-knights.net/sports/football/schedule/2021,https://go-knights.net/sports/football/schedule/2022
Washington and Jefferson,Presidents,"Washington, PA",PAC,2,Turf,1243,Wash. & Jeff.,http://gopresidents.com//sports/football/schedule/2021,http://gopresidents.com//sports/football/schedule/2022
Washington and Lee,Generals,"Lexington, VA",ODAC,3,Turf,1843,Wash. & Lee,http://www.generalssports.com/sports/football/schedule/2021,http://www.generalssports.com/sports/football/schedule/2022
Washington U.,Bears,"St. Louis, MO",CCIW,5,Turf,7092,WashU,http://bearsports.wustl.edu/sports/fball/2021-22/schedule,http://bearsports.wustl.edu/sports/fball/2022-23/schedule
Waynesburg,Yellow Jackets,"Waynesburg, PA",PAC,2,Turf,1239,Waynesburg,http://www.waynesburgsports.com//sports/football/schedule/2021,http://www.waynesburgsports.com//sports/football/schedule/2022
Wesleyan,Cardinals,"Middletown, CT",NESCAC,1,Grass,2930,Wesleyan (Conn.),http://athletics.wesleyan.edu/sports/football/schedule/2021,http://athletics.wesleyan.edu/sports/football/schedule/2022
Western Connecticut,Colonials,"Danbury, CT",MASCAC,1,Turf,4072,WestConn,https://westconnathletics.com/sports/football/schedule/2021-22,https://westconnathletics.com/sports/football/schedule/2022-23
Western New England,Golden Bears,"Springfield, MA",CCC,1,Turf,2580,Western New Eng.,http://wnegoldenbears.com/sports/fball/2021-22/schedule,http://wnegoldenbears.com/sports/fball/2022-23/schedule
Westfield State,Owls,"Westfield, MA",MASCAC,1,Turf,4239,Westfield St.,http://www.westfieldstateowls.com//sports/fball/2021-22/schedule,http://www.westfieldstateowls.com//sports/fball/2022-23/schedule
Westminster (Mo.),Blue Jays,"Fulton, MO",UMAC,6,Turf,632,Westminster,http://www.wcbluejays.com/sports/fball/2021-22/schedule,http://www.wcbluejays.com/sports/fball/2022-23/schedule
Westminster (Pa.),Titans,"New Wilmington, PA",PAC,2,Turf,1107,Westminster (PA),http://athletics.westminster.edu/sports/football/schedule/2021,http://athletics.westminster.edu/sports/football/schedule/2022
Wheaton (Ill.),Thunder,"Wheaton, IL",CCIW,5,Turf,2325,Wheaton (IL),http://athletics.wheaton.edu//sports/football/schedule/2021,http://athletics.wheaton.edu//sports/football/schedule/2022
Whittier,Poets,"Whittier, CA",SCIAC,6,Turf,1746,Whittier,http://www.wcpoets.com//sports/fball/2021-22/schedule,http://www.wcpoets.com//sports/fball/2022-23/schedule
Whitworth,Pirates,"Spokane, WA",NWC,6,Turf,2353,Whitworth,http://www.whitworthpirates.com/sports/football/schedule/2021,http://www.whitworthpirates.com/sports/football/schedule/2022
Widener,Pride,"Chester, PA",MAC,1,Turf,2767,Widener,http://www.widenerpride.com//sports/football/schedule/2021,http://www.widenerpride.com//sports/football/schedule/2022
Wilkes,Colonels,"Wilkes-Barre, PA",MAC,1,Turf,2082,Wilkes University,http://www.gowilkesu.com//sports/football/schedule/2021,http://www.gowilkesu.com//sports/football/schedule/2022
Willamette,Bearcats,"Salem, OR",NWC,6,Turf,1456,Willamette,http://wubearcats.com//sports/fball/2021-22/schedule,http://wubearcats.com//sports/fball/2022-23/schedule
William Paterson,Pioneers,"Wayne, NJ",NJAC,2,Turf,7155,William Paterson,http://www.wpupioneers.com/sports/football/schedule/2021,http://www.wpupioneers.com/sports/football/schedule/2022
Williams,Ephs,"Williamstown, MA",NESCAC,1,Turf,2028,Williams,https://ephsports.williams.edu/sports/football/schedule/2021,https://ephsports.williams.edu/sports/football/schedule/2022
Wilmington,Quakers,"Wilmington, OH",OAC,4,Turf,1192,Wilmington,http://www.wilmingtonquakers.com/sports/fball/2021-22/schedule,http://www.wilmingtonquakers.com/sports/fball/2022-23/schedule
Wisconsin Lutheran,Warriors,"Milwaukee, WI",NACC,5,Turf,915,Wisconsin Lutheran,http://wlcsports.com//sports/football/schedule/2021,http://wlcsports.com//sports/football/schedule/2022
Wittenberg,Tigers,"Springfield, OH",NCAC,4,Turf,1492,Wittenberg,http://www.wittenbergtigers.com/sports/fball/2021-22/schedule,http://www.wittenbergtigers.com/sports/fball/2022-23/schedule
Wooster,Scots,"Wooster, OH",NCAC,4,Turf,1934,Wooster,http://www.woosterathletics.com/sports/fball/2021-22/schedule,http://www.woosterathletics.com/sports/fball/2022-23/schedule
Worcester State,Lancers,"Worcester, MA",MASCAC,1,Turf,4069,Worcester St.,http://wsulancers.com/sports/fball/2021-22/schedule,http://wsulancers.com/sports/fball/2022-23/schedule
WPI,Engineers,"Worcester, MA",NEWMAC,1,Turf,4578,WPI,http://athletics.wpi.edu/sports/fball/2021-22/schedule,http://athletics.wpi.edu/sports/fball/2022-23/schedule
