School,Match,J,Link
Adrian,Adrian,1.0,http://www.adrianbulldogs.com/sports/football/schedule/2021
Albion,Albion,1.0,http://gobrits.com/sports/football/schedule/2021
Albright,Albright,1.0,http://www.albrightathletics.com/sports/football/schedule/2021
Alfred,Alfred,1.0,http://gosaxons.com//sports/football/schedule/2021
Alfred State,Alfred St.,0.888888889,http://www.alfredstateathletics.com//sports/fball/2021-22/schedule
Allegheny,Allegheny,1.0,http://www.alleghenysports.com//sports/football/schedule/2021
Alma,,0.8,
Alvernia,Alvernia,1.0,http://athletics.alvernia.edu//sports/football/schedule/2021
Amherst,,0.461538462,
Anderson,,0.636363636,
Anna Maria,Anna Maria,1.0,http://goamcats.com//sports/fball/2021-22/schedule
Augsburg,,0.571428571,
Augustana,Augustana (SD),0.777777778,http://www.goaugie.com/sports/football/schedule/2021
Aurora,Aurora,1.0,http://www.cuwfalcons.com//sports/fball/2021-22/schedule
Austin,Austin College,0.666666667,http://www.acroos.com//sports/fball/2021-22/schedule
Averett,Averett,1.0,http://www.averettcougars.com/sports/football/schedule/2021
Baldwin Wallace,Baldwin Wallace,1.0,http://www.bwyellowjackets.com//sports/fball/2021-22/schedule
Bates,,0.5,
Belhaven,,0.444444444,
Beloit,Beloit,1.0,https://beloitcollegeathletics.com//sports/football/schedule/2021
Benedictine,,1.0,
Berry,Berry College,0.5,http://www.berryvikings.com/sports/football/schedule/2021
Bethany,Bethany,1.0,http://bethanybison.com/sports/fball/2021-22/schedule
Bethel,Bethel (KS),0.714285714,http://www.bethelthreshers.com/sports/football/schedule/2021
Birmingham-Southern,,0.666666667,
Bluffton,,0.625,
Bowdoin,,0.444444444,
Brevard,Brevard,1.0,http://www.bctornados.com//sports/fball/2021-22/schedule
Bridgewater,Bridgewater,1.0,http://www.bridgewatereagles.com/sports/football/schedule/2021
Bridgewater State,,0.636363636,
Brockport,Brockport St.,0.875,http://www.gobrockport.com/sports/football/schedule/2021
Buena Vista,Buena Vista,1.0,http://bvuathletics.com//sports/football/schedule/2021
Buffalo State,Buffalo St.,0.888888889,http://www.buffalostateathletics.com/sports/football/schedule/2021
Cal Lutheran,Cal Lutheran,1.0,http://www.clusports.com//sports/fball/2021-22/schedule
Capital,,0.5,
Carleton,,0.888888889,
Carnegie Mellon,,0.75,
Carroll,Carroll (WI),0.833333333,http://gopios.com//sports/football/schedule/2021
Carthage,,0.666666667,
