,School,Nickname,Location,Conference,Region,Surface,Enrollment,Match,2021 Link,2022 Link,url_root
19,Beloit,Buccaneers,"Beloit, WI",MWC,5,Turf,1320,Beloit,https://beloitcollegeathletics.com//sports/football/schedule/2021,https://beloitcollegeathletics.com//sports/football/schedule/2022,beloitcollegeathletics.com
20,Benedictine,Eagles,"Lisle, IL",NACC,5,Turf,2465,Benedictine (IL),http://www.benueagles.com//sports/football/schedule/2021,http://www.benueagles.com//sports/football/schedule/2022,benueagles.com
21,Berry,Vikings,"Mount Berry, GA",SAA,3,Turf,1942,Berry College,http://www.berryvikings.com/sports/football/schedule/2021,http://www.berryvikings.com/sports/football/schedule/2022,berryvikings.com
22,Bethany,Bison,"Bethany, WV",PAC,2,Turf,501,Bethany,http://bethanybison.com/sports/fball/2021-22/schedule,http://bethanybison.com/sports/fball/2022-23/schedule,bethanybison.com
23,Bethel,Royals,"Arden Hills, MN",MIAC,6,Turf,2248,Bethel (MN),http://athletics.bethel.edu/sports/football/schedule/2021,http://athletics.bethel.edu/sports/football/schedule/2022,athletics.bethel.edu
24,Birmingham-Southern,Panthers,"Birmingham, AL",SAA,3,Turf,1199,Birmingham-So.,https://bscsports.net/sports/football/schedule/2021,https://bscsports.net/sports/football/schedule/2022,bscsports.net
25,Bluffton,Beavers,"Bluffton, OH",HCAC,4,Turf,605,Bluffton,http://blufftonbeavers.com/sports/fball/2021-22/schedule,http://blufftonbeavers.com/sports/fball/2022-23/schedule,blufftonbeavers.com
26,Bowdoin,Polar Bears,"Brunswick, ME",NESCAC,1,Turf,1797,Bowdoin,http://athletics.bowdoin.edu/sports/football/schedule/2021,http://athletics.bowdoin.edu/sports/football/schedule/2022,athletics.bowdoin.edu
27,Brevard,Tornados,"Brevard, NC",USAC,3,Turf,713,Brevard,http://www.bctornados.com//sports/fball/2021-22/schedule,http://www.bctornados.com//sports/fball/2022-23/schedule,bctornados.com
28,Bridgewater State,Bears,"Bridgewater, MA",MASCAC,1,Turf,7959,Bridgewater St.,http://www.bsubears.com/sports/fball/2021-22/schedule,http://www.bsubears.com/sports/fball/2022-23/schedule,bsubears.com
29,Bridgewater,Eagles,"Bridgewater, VA",ODAC,3,Turf,1868,Bridgewater,http://www.bridgewatereagles.com/sports/football/schedule/2021,http://www.bridgewatereagles.com/sports/football/schedule/2022,bridgewatereagles.com
30,Brockport,Golden Eagles,"Brockport, NY",E8,2,Turf,6304,Brockport St.,http://www.gobrockport.com/sports/football/schedule/2021,http://www.gobrockport.com/sports/football/schedule/2022,gobrockport.com
31,Buena Vista,Beavers,"Storm Lake, IA",ARC,5,Turf,1873,Buena Vista,http://bvuathletics.com//sports/football/schedule/2021,http://bvuathletics.com//sports/football/schedule/2022,bvuathletics.com
32,Buffalo State,Bengals,"Buffalo, NY",LL,2,Turf,8797,Buffalo St.,http://www.buffalostateathletics.com/sports/football/schedule/2021,http://www.buffalostateathletics.com/sports/football/schedule/2022,buffalostateathletics.com
33,Cal Lutheran,Kingsmen,"Thousand Oaks, CA",SCIAC,6,Turf,2477,Cal Lutheran,http://www.clusports.com//sports/fball/2021-22/schedule,http://www.clusports.com//sports/fball/2022-23/schedule,clusports.com
34,Capital,Comets,"Columbus, OH",OAC,4,Turf,2329,Capital,http://athletics.capital.edu//sports/football/schedule/2021,http://athletics.capital.edu//sports/football/schedule/2022,athletics.capital.edu
35,Carleton,Knights,"Northfield, MN",MIAC,6,Grass,2023,Carleton College,https://athletics.carleton.edu/sports/football/schedule/2021,https://athletics.carleton.edu/sports/football/schedule/2022,athletics.carleton.edu
36,Carnegie Mellon,Tartans,"Pittsburgh, PA",PAC,2,Turf,5609,Carnegie Mellon,http://athletics.cmu.edu//sports/fball/2021-22/schedule,http://athletics.cmu.edu//sports/fball/2022-23/schedule,athletics.cmu.edu
37,Carroll,Pioneers,"Waukesha, WI",CCIW,5,Turf,2493,Carroll (WI),http://gopios.com//sports/football/schedule/2021,http://gopios.com//sports/football/schedule/2022,gopios.com
38,Carthage,Firebirds,"Kenosha, WI",CCIW,5,Turf,2533,Carthage,https://athletics.carthage.edu//sports/football/schedule/2021,https://athletics.carthage.edu//sports/football/schedule/2022,athletics.carthage.edu
39,Case Western Reserve,Spartans,"Cleveland, OH",PAC,2,Turf,4966,Case Western Reserve,http://athletics.case.edu//sports/fball/2021-22/schedule,http://athletics.case.edu//sports/fball/2022-23/schedule,athletics.case.edu
40,Castleton,Spartans,"Castleton, VT",ECFC,1,Turf,1718,Castleton,http://www.castletonsports.com//sports/football/schedule/2021,http://www.castletonsports.com//sports/football/schedule/2022,castletonsports.com
41,Catholic,Cardinals,"Washington, DC",NEWMAC,1,Turf,3409,Catholic,http://www.catholicathletics.com/sports/fball/2021-22/schedule,http://www.catholicathletics.com/sports/fball/2022-23/schedule,catholicathletics.com
42,Central,Dutch,"Pella, Iowa",ARC,5,Turf,1179,Central College,https://athletics.central.edu/sports/football/schedule/2021,https://athletics.central.edu/sports/football/schedule/2022,athletics.central.edu
43,Centre,Colonels,"Danville, KY",SAA,3,Turf,1337,Centre,http://centrecolonels.com/sports/football/schedule/2021,http://centrecolonels.com/sports/football/schedule/2022,centrecolonels.com
44,Chapman,Panthers,"Orange, CA",SCIAC,6,Turf,5433,Chapman,https://www.chapmanathletics.com/sports/fball/2021-22/schedule,https://www.chapmanathletics.com/sports/fball/2022-23/schedule,chapmanathletics.com
45,Chicago,Maroons,"Chicago, IL",MWC,5,Turf,4955,Chicago,http://athletics.uchicago.edu//sports/fball/2021-22/schedule,http://athletics.uchicago.edu//sports/fball/2022-23/schedule,athletics.uchicago.edu
46,Christopher Newport,Captains,"Newport News, VA",NJAC,2,Grass,4962,Chris. Newport,http://www.cnusports.com//sports/football/schedule/2021,http://www.cnusports.com//sports/football/schedule/2022,cnusports.com
47,Claremont-Mudd-Scripps,Stags,"Claremont, CA",SCIAC,6,Grass,2873,Claremont-Mudd-Scripps,https://www.cmsathletics.org/sports/fball/2021-22/schedule,https://www.cmsathletics.org/sports/fball/2022-23/schedule,cmsathletics.org
48,Coast Guard,Bears,"New London, CT",NEWMAC,1,Turf,963,Coast Guard,http://www.uscgasports.com//sports/fball/2021-22/schedule,http://www.uscgasports.com//sports/fball/2022-23/schedule,uscgasports.com
49,Coe,Kohawks,"Cedar Rapids, IA",ARC,5,Turf,1343,Coe College,https://kohawkathletics.com/sports/football/schedule/2021,https://kohawkathletics.com/sports/football/schedule/2022,kohawkathletics.com
50,Colby,Mules,"Waterville, ME",NESCAC,1,Turf,1847,Colby,http://gocolbymules.com//sports/football/schedule/2021,http://gocolbymules.com//sports/football/schedule/2022,gocolbymules.com
51,Concordia (Wis.),Falcons,"Mequon, WI",NACC,5,Turf,2521,Concordia Wisconsin,https://www.cuwfalcons.com//sports/fball/2021-22/schedule,https://www.cuwfalcons.com//sports/fball/2022-23/schedule,cuwfalcons.com
52,Concordia-Chicago,Cougars,"River Forest, IL",NACC,5,Turf,1025,Concordia Chicago,http://www.cucougars.com/sports/football/schedule/2021,http://www.cucougars.com/sports/football/schedule/2022,cucougars.com
53,Concordia-Moorhead,Cobbers,"Moorhead, MN",MIAC,6,Turf,2815,Concordia-M'head,http://concordiamn.prestosports.com//sports/fball/2021-22/schedule,http://concordiamn.prestosports.com//sports/fball/2022-23/schedule,concordiamn.prestosports.com
54,Cornell,Rams,"Mount Vernon, IA",MWC,5,Turf,998,Cornell College,https://cornellrams.com/sports/football/schedule/2021,https://cornellrams.com/sports/football/schedule/2022,cornellrams.com
55,Cortland,Red Dragons,"Cortland, NY",E8,2,Turf,6203,Cortland,http://www.cortlandreddragons.com//sports/football/schedule/2021,http://www.cortlandreddragons.com//sports/football/schedule/2022,cortlandreddragons.com
56,Crown,Polars,"St. Bonifacius, MN",UMAC,6,Turf,535,Crown (MN),https://athletics.crown.edu/sports/football/schedule/2021-22,https://athletics.crown.edu/sports/football/schedule/2022-23,athletics.crown.edu
57,Curry,Colonels,"Milton, MA",CCC,1,Turf,1976,Curry,http://www.curryathletics.com/sports/fball/2021-22/schedule,http://www.curryathletics.com/sports/fball/2022-23/schedule,curryathletics.com
58,Dean,Bulldogs,"Franklin, MA",ECFC,1,Grass,1095,Dean,https://deanbulldogs.com/sports/football/schedule/2021,https://deanbulldogs.com/sports/football/schedule/2022,deanbulldogs.com
59,Defiance,Yellow Jackets,"Defiance, OH",HCAC,4,Turf,514,Defiance,http://www.defianceathletics.com//sports/fball/2021-22/schedule,http://www.defianceathletics.com//sports/fball/2022-23/schedule,defianceathletics.com
60,Delaware Valley,Aggies,"Doylestown, PA",MAC,1,Turf,1645,Delaware Valley,http://athletics.delval.edu//sports/football/schedule/2021,http://athletics.delval.edu//sports/football/schedule/2022,athletics.delval.edu
61,Denison,Big Red,"Granville, OH",NCAC,4,Turf,2259,DENISON,https://denisonbigred.com/sports/football/schedule/2021,https://denisonbigred.com/sports/football/schedule/2022,denisonbigred.com
62,DePauw,Tigers,"Greencastle, IN",NCAC,4,Turf,1939,DePauw,http://depauwtigers.com/sports/football/schedule/2021,http://depauwtigers.com/sports/football/schedule/2022,depauwtigers.com
63,Dickinson,Red Devils,"Carlisle, PA",CC,2,Turf,2091,Dickinson,http://www.dickinsonathletics.com/sports/football/schedule/2021,http://www.dickinsonathletics.com/sports/football/schedule/2022,dickinsonathletics.com
64,Dubuque,Spartans,"Dubuque, IA",ARC,5,Turf,1554,"Dubuque, Univ. of",https://udspartans.com//sports/football/schedule/2021,https://udspartans.com//sports/football/schedule/2022,udspartans.com
65,East Texas Baptist,Tigers,"Marshall, TX",ASC,3,Turf,1230,East Tex. Baptist,http://www.goetbutigers.com//sports/football/schedule/2021,http://www.goetbutigers.com//sports/football/schedule/2022,goetbutigers.com
66,Elmhurst,Bluejays,"Elmhurst, IL",CCIW,5,Turf,2712,Elmhurst,http://www.elmhurstbluejays.com/sports/football/schedule/2021,http://www.elmhurstbluejays.com/sports/football/schedule/2022,elmhurstbluejays.com
67,Endicott,Gulls,"Beverly, MA",CCC,1,Turf,2798,Endicott,http://ecgulls.com/sports/fball/2021-22/schedule,http://ecgulls.com/sports/fball/2022-23/schedule,ecgulls.com
68,Eureka,Red Devils,"Eureka, IL",NACC,5,Turf,478,Eureka,http://eurekareddevils.com/sports/fball/2021-22/schedule,http://eurekareddevils.com/sports/fball/2022-23/schedule,eurekareddevils.com
69,FDU-Florham,Devils,"Madison, NJ",MAC,1,Turf,2532,FDU-Florham,http://fdudevils.com//sports/football/schedule/2021,http://fdudevils.com//sports/football/schedule/2022,fdudevils.com
70,Ferrum,Panthers,"Ferrum, VA",ODAC,3,Turf,1030,Ferrum,http://www.ferrumpanthers.com//sports/football/schedule/2021,http://www.ferrumpanthers.com//sports/football/schedule/2022,ferrumpanthers.com
71,Finlandia,Lions,"Hancock, MI",UMAC,6,Turf,367,Finlandia,http://www.fulions.com/sports/football/schedule/2021,http://www.fulions.com/sports/football/schedule/2022,fulions.com
72,Fitchburg State,Falcons,"Fitchburg, MA",MASCAC,1,Turf,3145,Fitchburg St.,http://www.fscfalcons.com//sports/fball/2021-22/schedule,http://www.fscfalcons.com//sports/fball/2022-23/schedule,fscfalcons.com
73,Framingham State,Rams,"Framingham, MA",MASCAC,1,Grass,3359,Framingham St.,http://www.fsurams.com/sports/fball/2021-22/schedule,http://www.fsurams.com/sports/fball/2022-23/schedule,fsurams.com
74,Franklin and Marshall,Diplomats,"Lancaster, PA",CC,2,Turf,2306,Franklin & Marshall,http://www.godiplomats.com/sports/m-footbl/2021-22/schedule,http://www.godiplomats.com/sports/m-footbl/2022-23/schedule,godiplomats.com
75,Franklin,Grizzlies,"Franklin, IN",HCAC,4,Turf,876,Franklin,http://www.franklingrizzlies.com//sports/football/schedule/2021,http://www.franklingrizzlies.com//sports/football/schedule/2022,franklingrizzlies.com
76,Gallaudet,Bison,"Washington, DC",ECFC,1,Turf,1005,Gallaudet,https://www.gallaudetathletics.com/sports/fball/2021-22/schedule,https://www.gallaudetathletics.com/sports/fball/2022-23/schedule,gallaudetathletics.com
77,Geneva,Golden Tornadoes,"Beaver Falls, PA",PAC,2,Turf,1564,Geneva,http://athletics.geneva.edu//sports/football/schedule/2021,http://athletics.geneva.edu//sports/football/schedule/2022,athletics.geneva.edu
78,George Fox,Bruins,"Newberg, OR",NWC,6,Turf,2428,George Fox,http://athletics.georgefox.edu/sports/football/schedule/2021,http://athletics.georgefox.edu/sports/football/schedule/2022,athletics.georgefox.edu
79,Gettysburg,Bullets,"Gettysburg, PA",CC,2,Turf,2367,Gettysburg,http://www.gettysburgsports.com//sports/football/schedule/2021,http://www.gettysburgsports.com//sports/football/schedule/2022,gettysburgsports.com
80,Greensboro,Pride,"Greensboro, NC",USAC,3,Turf,696,Greensboro,http://www.greensborocollegesports.com//sports/football/schedule/2021,http://www.greensborocollegesports.com//sports/football/schedule/2022,greensborocollegesports.com
81,Greenville,Panthers,"Greenville, IL",UMAC,6,Grass,815,Greenville,https://athletics.greenville.edu/sports/fball/2021-22/schedule,https://athletics.greenville.edu/sports/fball/2022-23/schedule,athletics.greenville.edu
82,Grinnell,Pioneers,"Grinnell, IA",MWC,5,Grass,1694,Grinnell College,http://pioneers.grinnell.edu//sports/football/schedule/2021,http://pioneers.grinnell.edu//sports/football/schedule/2022,pioneers.grinnell.edu
83,Grove City,Wolverines,"Grove City, PA",PAC,2,Turf,2509,Grove City,https://athletics.gcc.edu/sports/football/schedule/2021,https://athletics.gcc.edu/sports/football/schedule/2022,athletics.gcc.edu
84,Guilford,Quakers,"Greensboro, NC",ODAC,3,Turf,1266,Guilford,http://www.guilfordquakers.com/sports/football/schedule/2021,http://www.guilfordquakers.com/sports/football/schedule/2022,guilfordquakers.com
85,Gustavus Adolphus,Gusties,"St. Peter, MN",MIAC,6,Turf,2212,NONE,,,
86,Hamilton,Continentals,"Clinton, NY",NESCAC,1,Turf,1997,Hamilton,http://athletics.hamilton.edu//sports/football/schedule/2021,http://athletics.hamilton.edu//sports/football/schedule/2022,athletics.hamilton.edu
87,Hamline,Pipers,"St. Paul, MN",MIAC,6,Turf,1996,Hamline,http://hamlineathletics.com//sports/football/schedule/2021,http://hamlineathletics.com//sports/football/schedule/2022,hamlineathletics.com
88,Hampden-Sydney,Tigers,"Hampden-Sydney, VA",ODAC,3,Grass,986,Hampden-Sydney,http://hscathletics.com/sports/football/schedule/2021,http://hscathletics.com/sports/football/schedule/2022,hscathletics.com
89,Hanover,Panthers,"Hanover, IN",HCAC,4,Turf,1062,Hanover,https://athletics.hanover.edu/sports/football/schedule/2021,https://athletics.hanover.edu/sports/football/schedule/2022,athletics.hanover.edu
90,Hardin-Simmons,Cowboys,"Abilene, TX",ASC,3,Turf,1614,Hardin-Simmons,http://www.hsuathletics.com//sports/m-footbl/2021-22/schedule,http://www.hsuathletics.com//sports/m-footbl/2022-23/schedule,hsuathletics.com
91,Hartwick,Hawks,"Oneonta, NY",E8,2,Turf,1164,Hartwick,https://www.hartwickhawks.com/sports/football/schedule/2021-22,https://www.hartwickhawks.com/sports/football/schedule/2022-23,hartwickhawks.com
92,Heidelberg,Student Princes,"Tiffin, OH",OAC,4,Turf,1036,Heidelberg,http://www.bergathletics.com//sports/football/schedule/2021,http://www.bergathletics.com//sports/football/schedule/2022,bergathletics.com
93,Hendrix,Warriors,"Conway, AR",SAA,3,Turf,1101,Hendrix,http://www.hendrixwarriors.com/sports/football/schedule/2021,http://www.hendrixwarriors.com/sports/football/schedule/2022,hendrixwarriors.com
94,Hilbert,Hawks,"Hamburg, NY",IND,2,TBA,686,NONE,,https://hilberthawks.com/sports/football/schedule/2022,hilberthawks.com
95,Hiram,Terriers,"Hiram, OH",NCAC,4,Turf,801,Hiram,http://www.hiramterriers.com//sports/football/schedule/2021,http://www.hiramterriers.com//sports/football/schedule/2022,hiramterriers.com
96,Hobart,Statesmen,"Geneva, NY",LL,2,Turf,2031,Hobart,http://www.hwsathletics.com//sports/football/schedule/2021,http://www.hwsathletics.com//sports/football/schedule/2022,hwsathletics.com
97,Hope,Flying Dutchmen,"Holland, MI",MIAA,4,Turf,2910,Hope,http://athletics.hope.edu/sports/football/schedule/2021,http://athletics.hope.edu/sports/football/schedule/2022,athletics.hope.edu
98,Howard Payne,Yellow Jackets,"Brownwood, TX",ASC,3,Turf,738,Howard Payne,http://www.hpusports.com/sports/football/schedule/2021,http://www.hpusports.com/sports/football/schedule/2022,hpusports.com
99,Huntingdon,Hawks,"Montgomery, AL",USAC,3,Turf,830,Huntingdon,http://www.huntingdonhawks.com/sports/fball/2021-22/schedule,http://www.huntingdonhawks.com/sports/fball/2022-23/schedule,huntingdonhawks.com
100,Husson,Eagles,"Bangor, ME",CCC,1,Turf,2404,Husson,https://husson.prestosports.com/sports/fball/2021-22/schedule,https://husson.prestosports.com/sports/fball/2022-23/schedule,husson.prestosports.com
101,Illinois College,Blueboys,"Jacksonville, IL",MWC,5,Turf,1037,Illinois Col.,http://illinoiscollegeathletics.com/sports/football/schedule/2021,http://illinoiscollegeathletics.com/sports/football/schedule/2022,illinoiscollegeathletics.com
102,Illinois Wesleyan,Titans,"Bloomington, IL",CCIW,5,Turf,1610,Ill. Wesleyan,https://www.iwusports.com/sports/football/schedule/2021,https://www.iwusports.com/sports/football/schedule/2022,iwusports.com
103,Ithaca,Bombers,"Ithaca, NY",LL,2,Grass,5735,Ithaca College,http://bombers.ithaca.edu//sports/football/schedule/2021,http://bombers.ithaca.edu//sports/football/schedule/2022,bombers.ithaca.edu
104,John Carroll,Blue Streaks,"University Heights, OH",OAC,4,Turf,2904,John Carroll,http://www.jcusports.com//sports/football/schedule/2021,http://www.jcusports.com//sports/football/schedule/2022,jcusports.com
105,Johns Hopkins,Blue Jays,"Baltimore, MD",CC,2,Turf,6006,Johns Hopkins,http://www.hopkinssports.com//sports/football/schedule/2021,http://www.hopkinssports.com//sports/football/schedule/2022,hopkinssports.com
106,Juniata,Eagles,"Huntingdon, PA",CC,2,Turf,1269,Juniata,https://www.juniatasports.net/sports/fball/2021-22/schedule,https://www.juniatasports.net/sports/fball/2022-23/schedule,juniatasports.net
107,Kalamazoo,Hornets,"Kalamazoo, MI",MIAA,4,Turf,1256,Kalamazoo,http://hornets.kzoo.edu/sports/fball/2021-22/schedule,http://hornets.kzoo.edu/sports/fball/2022-23/schedule,hornets.kzoo.edu
108,Kean,Cougars,"Union, NJ",NJAC,2,Turf,9702,KEAN,https://keanathletics.com/sports/football/schedule/2021,https://keanathletics.com/sports/football/schedule/2022,keanathletics.com
109,Kenyon,Owls,"Gambier, OH",NCAC,4,Turf,1734,Kenyon,http://athletics.kenyon.edu/sports/football/schedule/2021,http://athletics.kenyon.edu/sports/football/schedule/2022,athletics.kenyon.edu
110,Keystone,Giants,"La Plume, PA",ECFC,1,Turf,1087,Keystone College,http://www.gokcgiants.com/sports/football/schedule/2021,http://www.gokcgiants.com/sports/football/schedule/2022,gokcgiants.com
111,King's,Monarchs,"Wilkes-Barre, PA",MAC,1,Turf,2040,King's College,http://www.kingscollegeathletics.com//sports/football/schedule/2021,http://www.kingscollegeathletics.com//sports/football/schedule/2022,kingscollegeathletics.com
112,Knox,Prairie Fire,"Galesburg, IL",MWC,5,Turf,1223,Knox,http://prairiefire.knox.edu//sports/football/schedule/2021,http://prairiefire.knox.edu//sports/football/schedule/2022,prairiefire.knox.edu
113,La Verne,Leopards,"La Verne, CA",SCIAC,6,Turf,3353,La Verne,http://www.leopardathletics.com/sports/fball/2021-22/schedule,http://www.leopardathletics.com/sports/fball/2022-23/schedule,leopardathletics.com
114,LaGrange,Panthers,"LaGrange, GA",USAC,3,Turf,844,LaGrange,http://www.lagrangepanthers.com/sports/fball/2021-22/schedule,http://www.lagrangepanthers.com/sports/fball/2022-23/schedule,lagrangepanthers.com
115,Lake Forest,Foresters,"Lake Forest, IL",MWC,5,Turf,1509,Lake Forest,http://www.goforesters.com//sports/fball/2021-22/schedule,http://www.goforesters.com//sports/fball/2022-23/schedule,goforesters.com
116,Lakeland,Muskies,"Sheboygan, WI",NACC,5,Turf,794,Lakeland University,https://lakelandmuskies.com/sports/football/schedule/2021,https://lakelandmuskies.com/sports/football/schedule/2022,lakelandmuskies.com
117,Lawrence,Vikings,"Appleton, WI",MWC,5,Turf,1397,Lawrence University,http://vikings.lawrence.edu/sports/football/schedule/2021,http://vikings.lawrence.edu/sports/football/schedule/2022,vikings.lawrence.edu
118,Lebanon Valley,Flying Dutchmen,"Annville, PA",MAC,1,Turf,1633,Lebanon Valley,http://www.godutchmen.com//sports/football/schedule/2021,http://www.godutchmen.com//sports/football/schedule/2022,godutchmen.com
119,Lewis and Clark,Pioneers,"Portland, OR",NWC,6,Turf,1887,Lewis & Clark,http://www.lcpioneers.com/sports/football/schedule/2021,http://www.lcpioneers.com/sports/football/schedule/2022,lcpioneers.com
120,Linfield,Wildcats,"McMinnville, OR",NWC,6,Turf,1363,Linfield,https://golinfieldwildcats.com//sports/football/schedule/2021,https://golinfieldwildcats.com//sports/football/schedule/2022,golinfieldwildcats.com
121,Loras,Duhawks,"Dubuque, IA",ARC,5,Turf,1260,Loras College,http://www.duhawks.com//sports/football/schedule/2021,http://www.duhawks.com//sports/football/schedule/2022,duhawks.com
122,Luther,Norse,"Decorah, IA",ARC,5,Turf,1913,Luther College,https://luthernorse.com//sports/football/schedule/2021,https://luthernorse.com//sports/football/schedule/2022,luthernorse.com
123,Lycoming,Warriors,"Williamsport, PA",MAC,1,Turf,1122,Lycoming,http://athletics.lycoming.edu/sports/football/schedule/2021,http://athletics.lycoming.edu/sports/football/schedule/2022,athletics.lycoming.edu
124,Macalester,Scots,"St. Paul, MN",MIAC,6,Turf,2062,Macalester,http://athletics.macalester.edu/sports/football/schedule/2021,http://athletics.macalester.edu/sports/football/schedule/2022,athletics.macalester.edu
125,Manchester,Spartans,"N. Manchester, IN",HCAC,4,Turf,1060,Manchester,http://muspartans.com//sports/football/schedule/2021,http://muspartans.com//sports/football/schedule/2022,muspartans.com
126,Marietta,Pioneers,"Marietta, OH",OAC,4,Turf,1052,Marietta College,http://pioneers.marietta.edu//sports/football/schedule/2021,http://pioneers.marietta.edu//sports/football/schedule/2022,pioneers.marietta.edu
127,Martin Luther,Knights,"New Ulm, MN",UMAC,6,Grass,705,Martin Luther,http://mlcknights.com//sports/football/schedule/2021,http://mlcknights.com//sports/football/schedule/2022,mlcknights.com
128,Mary Hardin-Baylor,Crusaders,"Belton, TX",ASC,3,Turf,3112,Mary Hardin-Baylor,http://cruathletics.com/sports/football/schedule/2021,http://cruathletics.com/sports/football/schedule/2022,cruathletics.com
129,Maryville (Tenn.),Scots,"Maryville, TN",USAC,3,Grass,1061,Maryville College,http://mcscots.com//sports/football/schedule/2021,http://mcscots.com//sports/football/schedule/2022,mcscots.com
130,Mass-Dartmouth,Corsairs,"North Dartmouth, MA",MASCAC,1,Turf,5439,Mass.-Dartmouth,http://www.corsairathletics.com/sports/football/schedule/2021,http://www.corsairathletics.com/sports/football/schedule/2022,corsairathletics.com
131,Massachusetts Maritime,Buccaneers,"Buzzards Bay, MA",MASCAC,1,Turf,1616,Mass. Maritime,http://www.mmabucs.com/sports/fball/2021-22/schedule,http://www.mmabucs.com/sports/fball/2022-23/schedule,mmabucs.com
132,McDaniel,Green Terror,"Westminster, MD",CC,2,Turf,1649,McDaniel,http://www.mcdanielathletics.com/sports/football/schedule/2021,http://www.mcdanielathletics.com/sports/football/schedule/2022,mcdanielathletics.com
133,McMurry,War Hawks,"Abilene, TX",ASC,3,Turf,1019,McMurry,http://www.mcmurrysports.com//sports/football/schedule/2021,http://www.mcmurrysports.com//sports/football/schedule/2022,mcmurrysports.com
