,School,Nickname,Location,Conference,Region,Surface,Enrollment,Match,2021 Link,2022 Link,url_root
0,Adrian,Bulldogs,"Adrian, MI",MIAA,4,Turf,1723,Adrian,http://www.adrianbulldogs.com/sports/football/schedule/2021,http://www.adrianbulldogs.com/sports/football/schedule/2022,adrianbulldogs.com
1,Albion,Britons,"Albion, MI",MIAA,4,Turf,1448,Albion,http://gobrits.com/sports/football/schedule/2021,http://gobrits.com/sports/football/schedule/2022,gobrits.com
2,Albright,Lions,"Reading, PA",MAC,1,Turf,1701,Albright,http://www.albrightathletics.com/sports/football/schedule/2021,http://www.albrightathletics.com/sports/football/schedule/2022,albrightathletics.com
3,Alfred State,Pioneers,"Alfred, NY",ECFC,1,Turf,3482,Alfred St.,http://www.alfredstateathletics.com//sports/fball/2021-22/schedule,http://www.alfredstateathletics.com//sports/fball/2022-23/schedule,alfredstateathletics.com
4,Alfred,Saxons,"Alfred, NY",E8,2,Turf,1639,Alfred,http://gosaxons.com//sports/football/schedule/2021,http://gosaxons.com//sports/football/schedule/2022,gosaxons.com
5,Allegheny,Gators,"Meadville, PA",NCAC,4,Turf,1711,Allegheny,http://www.alleghenysports.com//sports/football/schedule/2021,http://www.alleghenysports.com//sports/football/schedule/2022,alleghenysports.com
6,Alma,Scots,"Alma, MI",MIAA,4,Turf,1396,Alma College,https://almascots.com/sports/fball/2021-22/schedule,https://almascots.com/sports/fball/2022-23/schedule,almascots.com
7,Alvernia,Golden Wolves,"Reading, PA",MAC,1,Turf,1655,Alvernia,http://athletics.alvernia.edu//sports/football/schedule/2021,http://athletics.alvernia.edu//sports/football/schedule/2022,athletics.alvernia.edu
8,Amherst,Mammoths,"Amherst, MA",NESCAC,1,Turf,1839,Amherst,https://athletics.amherst.edu/sports/football/schedule/2021,https://athletics.amherst.edu/sports/football/schedule/2022,athletics.amherst.edu
9,Anderson,Ravens,"Anderson, IN",HCAC,4,Turf,1213,Anderson (Ind.),http://athletics.anderson.edu//sports/fball/2021-22/schedule,http://athletics.anderson.edu//sports/fball/2022-23/schedule,athletics.anderson.edu
10,Anna Maria,Amcats,"Paxton, MA",ECFC,1,Turf,924,Anna Maria,http://goamcats.com//sports/fball/2021-22/schedule,http://goamcats.com//sports/fball/2022-23/schedule,goamcats.com
11,Augsburg,Auggies,"Minneapolis, MN",MIAC,6,Turf,2166,Augsburg University,http://athletics.augsburg.edu//sports/football/schedule/2021,http://athletics.augsburg.edu//sports/football/schedule/2022,athletics.augsburg.edu
12,Augustana,Vikings,"Rock Island, IL",CCIW,5,Turf,2523,Augustana College,http://www.athletics.augustana.edu/sports/football/schedule/2021,http://www.athletics.augustana.edu/sports/football/schedule/2022,athletics.augustana.edu
13,Aurora,Spartans,"Aurora, IL",NACC,5,Turf,3679,Aurora University,http://athletics.aurora.edu//sports/football/schedule/2021,http://athletics.aurora.edu//sports/football/schedule/2022,athletics.aurora.edu
14,Austin,Kangaroos,"Sherman, TX",ASC,3,Grass,1290,Austin College,http://www.acroos.com//sports/fball/2021-22/schedule,http://www.acroos.com//sports/fball/2022-23/schedule,acroos.com
15,Averett,Cougars,"Danville, VA",USAC,3,Turf,868,Averett,http://www.averettcougars.com/sports/football/schedule/2021,http://www.averettcougars.com/sports/football/schedule/2022,averettcougars.com
16,Baldwin Wallace,Yellow Jackets,"Berea, OH",OAC,4,Turf,2767,Baldwin Wallace,http://www.bwyellowjackets.com//sports/fball/2021-22/schedule,http://www.bwyellowjackets.com//sports/fball/2022-23/schedule,bwyellowjackets.com
17,Bates,Bobcats,"Lewiston, ME",NESCAC,1,Turf,1820,Bates,https://gobatesbobcats.com//sports/football/schedule/2021,https://gobatesbobcats.com//sports/football/schedule/2022,gobatesbobcats.com
18,Belhaven,Blazers,"Jackson, MS",ASC,3,Turf,1242,Belhaven,http://blazers.belhaven.edu//sports/football/schedule/2021,http://blazers.belhaven.edu//sports/football/schedule/2022,blazers.belhaven.edu
