PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,PASSER PBP,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
121,North Park,D,NPU,4,,8.0,1.0,0.0,10.0,-27.0,Gold Zone,Pass,Incomplete,0.0,,,Incomplete,QB Dreksler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:11,671,0,14,13,3,2,3,,,,,,,
122,North Park,D,NPU,4,,8.0,2.0,2.0,10.0,-27.0,Gold Zone,Pass,Complete,3.0,,Eck NPU24,Complete,,,,,Teodoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:11,671,0,14,13,3,2,3,,,,,,,
123,North Park,D,NPU,4,,8.0,3.0,3.0,7.0,-27.0,Gold Zone,Pass,Incomplete,0.0,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,11:11,671,0,14,13,3,2,3,,,,,,,
124,North Park,K,NPU,4,,,,4.0,7.0,-27.0,Gold Zone,Punt Rec,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,38.0,,,,,,,,,,,,,,,11:11,671,0,14,13,3,2,3,,,,,,,
125,North Park,O,MILLIKIN,4,,8.0,1.0,0.0,10.0,-38.0,Gold Zone,Run,Rush,3.0,,,,,,,,Landrau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:03,603,14,0,13,3,3,2,,,,,,,
126,North Park,O,MILLIKIN,4,,8.0,2.0,2.0,7.0,-41.0,Gold Zone,Run,Rush,3.0,,,,,,,,Jaydin Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:03,603,14,0,13,3,3,2,,,,,,,
127,North Park,O,MILLIKIN,4,,8.0,3.0,3.0,4.0,-44.0,Gold Zone,Pass,Incomplete,0.0,,,Incomplete,,,,,Ombogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:03,603,14,0,13,3,3,2,,,,,,,
128,North Park,K,MILLIKIN,4,,,,4.0,4.0,-44.0,Gold Zone,Punt,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,4.0,,,,,,,,,,,,,,,10:03,603,14,0,13,3,3,2,,,,,,,
129,North Park,D,NPU,4,,9.0,1.0,0.0,10.0,-4.0,Backed Up,Run,Rush,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:16,496,0,14,13,3,2,3,,,,,,,
130,North Park,D,NPU,4,,9.0,2.0,1.0,10.0,-17.0,Coming Out,Pass,Incomplete,0.0,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:16,496,0,14,13,3,2,3,,,,,,,
131,North Park,D,NPU,4,,9.0,3.0,2.0,10.0,-17.0,Coming Out,Pass,Incomplete,0.0,,Hunter Hughes,Incomplete,,,,,Teodoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:16,496,0,14,13,3,2,3,,,,,,,
