jersey_number,first_name,last_name,height,weight,hometown,team,season_position,current_class
D14,Quinten,Johnson,511,200,"Silver Spring, MD, US",Michigan,CB,J
D15,Christopher,Hinton,604,310,"Johns Creek, GA, US",Michigan,ED,J
D41,Nikhai,Hill-Green,601,220,"Pittsburgh, PA, US",Michigan,LB,S
D55,David,Ojabo,605,250,"Aberdeen, Scotland",Michigan,LB,J
D96,Julius,Welschof,606,288,"Miesbach, Bavaria",Michigan,DI,SN
D99,Gabe,Newburg,605,251,"Clayton, OH, US",Michigan,ED,J
15,Alan,Bowman,604,205,"Grapevine, TX, US",Michigan,QB,G
16,Davis,Warren,602,195,"Los Angeles, CA, US",Michigan,QB,F
22,Tavierre,Dunlap,600,222,"Del Valle, TX, US",Michigan,HB,F
37,Josh,Beetham,605,239,"Yorkville, IL, US",Michigan,TE,S
64,Mahdi,Hazime,602,319,"Toronto, ON, CA",Michigan,C,J
85,Daylen,Baldwin,602,219,"Southfield, MI, US",Michigan,WR,SN
D25,Junior,Colson,602,225,"Brentwood, TN, US",Michigan,LB,F
D42,Trevor,Andrews,602,218,"Brentwood, TN, US",Michigan,S,F
D43,Andrew,Russell,602,191,"Victor, NY, US",Michigan,S,SN
D93,Jordan,Whittley,601,348,"Richmond, CA, US",Michigan,ED,G
2,Blake,Corum,508,200,"Marshall, VA, US",Michigan,HB,S
3,A.J.,Henning,510,185,"Frankfort, IL, US",Michigan,WR,S
4,Dan,Villari,604,235,"Massapequa, NY, US",Michigan,QB,S
5,Mike,Sainristil,510,185,"Everett, MA, US",Michigan,WR,J
6,Cornelius,Johnson,603,211,"Greenwich, CT, US",Michigan,WR,J
8,Ronnie,Bell,600,192,"Kansas City, MO, US",Michigan,WR,SN
12,Cade,McNamara,601,212,"Reno, NV, US",Michigan,QB,J
14,Roman,Wilson,600,180,"Honolulu, HI, US",Michigan,WR,S
17,Peyton,Smith,603,192,"Ithaca, MI, US",Michigan,QB,S
24,Danny,Hughes,600,200,"Naperville, IL, US",Michigan,HB,J
25,Hassan,Haskins,601,220,"St. Louis, MO, US",Michigan,HB,SN
26,Jake,Thaw,600,190,"Westport, CT, US",Michigan,WR,S
27,Christian,Bartholomew,600,182,"Galesburg, MI, US",Michigan,WR,S
30,Will,Rolapp,600,186,"Darien, CT, US",Michigan,WR,S
31,Lucas,Andrighetto,601,204,"Mountain View, CA, US",Michigan,HB,SN
34,Leon,Franklin,508,206,"Southfield, MI, US",Michigan,HB,J
35,Luke,Buckman,605,237,"Holland, MI, US",Michigan,TE,SN
36,Nico,Tiberia,509,201,"Allen Park, MI, US",Michigan,HB,S
39,Matt,Torey,510,183,"Sterling Heights, MI, US",Michigan,WR,SN
41,Isaiah,Gash,510,178,"Green Bay, WI, US",Michigan,HB,S
52,Karsen,Barnhart,604,307,"Paw Paw, MI, US",Michigan,C,J
53,Trente,Jones,604,307,"Grayson, GA, US",Michigan,G,J
54,Kraig,Correll,604,311,"Easton, PA, US",Michigan,T,SN
55,Mica,Gelb,604,292,"Washington, DC, US",Michigan,C,J
60,Luke,Fisher,604,298,"Plymouth, MI, US",Michigan,C,J
61,Noah,Stewart,607,274,"Muskegon, MI, US",Michigan,G,S
65,Zak,Zinter,606,320,"North Andover, MA, US",Michigan,C,S
66,Chuck,Filiaga,606,337,"Aledo, TX, US",Michigan,T,G
68,Andrew,Vastardis,603,294,"Ashburn, VA, US",Michigan,T,G
70,Nolan,Rumler,603,332,"Akron, OH, US",Michigan,G,J
71,Andrew,Stueber,607,338,"Darien, CT, US",Michigan,C,G
74,Reece,Atteberry,605,307,"Aurora, CO, US",Michigan,G,S
76,Ryan,Hayes,607,307,"Traverse City, MI, US",Michigan,G,SN
77,Trevor,Keegan,606,324,"Crystal Lake, IL, US",Michigan,G,J
78,Griffin,Korican,606,316,"Seattle, WA, US",Michigan,T,SN
