PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,PASSER PBP,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Ursinus,K,URSINUS,1,,,,,,,,KO Rec,Return,,,,,,,,,Bailey Delp,,,,,,,Kyhlil Jones,16,26.0,Dakota Wherrity,55.0,10.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Ursinus,O,JUNIATA,1,,1.0,1.0,0.0,10.0,-26.0,Gold Zone,Pass,Incomplete,0.0,,Aaron Golberg,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
3,Ursinus,O,JUNIATA,1,,1.0,2.0,2.0,10.0,-26.0,Gold Zone,Run,Rush,4.0,Hunter Wolfley,,,,,,,Anthony Trazzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
4,Ursinus,O,JUNIATA,1,,1.0,3.0,3.0,6.0,-30.0,Gold Zone,Run,Rush,5.0,Aaron Golberg,,,,,,,Julian Jones,Jonathan Klee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:53,1793,0,0,0,3,3,3,,,,,,,
5,Ursinus,,JUNIATA,1,,,,4.0,1.0,-35.0,Gold Zone,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ursinus,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
6,Ursinus,K,JUNIATA,1,,,,4.0,1.0,-35.0,Gold Zone,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Beckett Leary,49.0,16.0,,,,,,,,,,,,,,,13:18,1698,0,0,0,3,3,2,,,,,,,
7,Ursinus,D,URSINUS,1,,1.0,1.0,0.0,10.0,-16.0,Coming Out,Run,Rush,6.0,Samuel Ragland,,,,,,,Michael Grapin,Ethan Hurst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:00,1680,0,0,0,3,2,3,,,,,,,
8,Ursinus,D,URSINUS,1,,1.0,2.0,2.0,4.0,-22.0,Coming Out,Run,Rush,4.0,Samuel Ragland,,,,,,,Nathan Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:00,1680,0,0,0,3,2,3,,,,,,,
9,Ursinus,D,URSINUS,1,,1.0,3.0,1.0,10.0,-26.0,Gold Zone,Pass,Complete,11.0,,Jack Psenicska,Complete,Kevin DePrince,,,,Adam Grajewski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:00,1680,0,0,0,3,2,3,,,,,,,
10,Ursinus,D,URSINUS,1,,1.0,4.0,1.0,10.0,-37.0,Gold Zone,Pass,Incomplete,0.0,,Jack Psenicska,Incomplete,Zachary Throne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:00,1680,0,0,0,3,2,3,,,,,,,
11,Ursinus,D,URSINUS,1,,1.0,5.0,2.0,10.0,-37.0,Gold Zone,Pass,Complete,13.0,,Jack Psenicska,Complete,Zachary Throne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:00,1680,0,0,0,3,2,3,,,,,,,
12,Ursinus,D,URSINUS,1,,1.0,6.0,1.0,10.0,-50.0,Go Zone,Pass,Complete,1.0,,Jack Psenicska,Complete,Kevin DePrince,,,,Ethan Hurst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:00,1680,0,0,0,3,2,3,,,,,,,
