PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,McDaniel,K,MCDANIEL,1,,,,,,,KO Ret,Return,,,,,,,,,Mason Brown,,,,,,,Nate Costley,21,26.0,Peyton Denlinge,60.0,5.0,Return,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,McDaniel,O,FMC,1,,1.0,1.0,0.0,10.0,-26.0,Pass,Complete,5.0,,Logan Clouse,Complete,Jack O'Hearen,,,,Barry Amos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,McDaniel,O,FMC,1,,1.0,2.0,2.0,5.0,-31.0,Run,Rush,1.0,Keshon Farmer,,,,,,,Mike Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,McDaniel,,FMC,1,,,,3.0,4.0,-32.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,offside,MCDANIEL,Kyle Estep,,,,5.0
5,McDaniel,O,FMC,1,,1.0,3.0,1.0,10.0,-37.0,Run,Rush,4.0,Keshon Farmer,,,,,,,Nah'shon Godfre,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,15:00,1800,0,0,0,3,3,3,holding,FMC,Jack O'Hearen,,,,10.0
6,McDaniel,O,FMC,1,,1.0,4.0,1.0,20.0,-27.0,Pass,Complete,11.0,,Logan Clouse,Complete,Trey Glass,,,,Desmond Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,McDaniel,O,FMC,1,,1.0,5.0,2.0,9.0,-38.0,Run,Rush,12.0,Keshon Farmer,,,,,,,Mason Brown,Terrance Jackso,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,McDaniel,O,FMC,1,,1.0,6.0,1.0,10.0,-50.0,Run,Rush,-2.0,Keshon Farmer,,,,,,,Mamut Conteh,Barry Amos,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,McDaniel,O,FMC,1,,1.0,7.0,2.0,12.0,-48.0,Pass,Complete,4.0,,Logan Clouse,Complete,Trey Glass,,,,Nah'shon Godfre,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,15:00,1800,0,0,0,3,3,3,illegal block,FMC,Keshon Farmer,,,,15.0
10,McDaniel,O,FMC,1,,1.0,8.0,2.0,27.0,-33.0,Run,Rush,3.0,Keshon Farmer,,,,,,,Nah'shon Godfre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
11,McDaniel,O,FMC,1,,1.0,9.0,3.0,24.0,-36.0,Pass,Complete,4.0,,Logan Clouse,Complete,Jack O'Hearen,,,,Alex Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
12,McDaniel,K,FMC,1,,,,4.0,20.0,-40.0,Punt,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,Jack Rodenberge,25.0,35.0,Out of bounds,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
13,McDaniel,D,MCDANIEL,1,,1.0,1.0,0.0,10.0,-35.0,Run,Rush,-2.0,Daqwan Hill,,,,,,,Tom Papa,Luke Strauss,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:40,1480,0,0,0,3,3,3,,,,,,,
14,McDaniel,D,MCDANIEL,1,,1.0,2.0,2.0,12.0,-33.0,Pass,Complete,6.0,,John Allan,Complete,Cameron Garcia,,,,Colin Lavigne,Thomas Downs,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:40,1480,0,0,0,3,3,3,,,,,,,
15,McDaniel,D,MCDANIEL,1,,1.0,3.0,3.0,6.0,-39.0,Pass,Incomplete,0.0,,John Allan,Incomplete,Bryce Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,09:40,1480,0,0,0,3,3,3,,,,,,,
16,McDaniel,K,MCDANIEL,1,,,,4.0,6.0,-39.0,Punt Ret,Blocked,,,,,,,,,blocked by Jacob Hille,,,,,,,,,,,,,,Peyton Denlinge,6.0,-45.0,Blocked,,,,,,,,,,,,09:40,1480,0,0,0,3,3,3,,,,,,,
17,McDaniel,O,FMC,1,,2.0,1.0,0.0,10.0,45.0,Pass,Sack,-3.0,,Logan Clouse,Sack,,,,,Tasir Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:19,1399,0,0,0,3,3,3,,,,,,,
18,McDaniel,O,FMC,1,,2.0,2.0,2.0,13.0,48.0,Run,Rush,4.0,Keshon Farmer,,,,,,,Kai Leibfried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:19,1399,0,0,0,3,3,3,,,,,,,
19,McDaniel,O,FMC,1,,2.0,3.0,3.0,9.0,44.0,Pass,Incomplete,0.0,,Logan Clouse,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,08:19,1399,0,0,0,3,3,3,,,,,,,
