PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Moravian,K,M,1,,,,,,,KO,,,,,,,,,,Luke Dauberman,Kyle Jones,,,,,,Romello Walters,13,21.0,Jack Rodenberge,57.0,-8.0,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Moravian,D,MOR,1,,1.0,1.0,0.0,10.0,-21.0,Pass,Complete,11.0,,Christopher Mil,Complete,Trevor Cunningh,,,,Calvin Krippner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Moravian,D,MOR,1,,1.0,2.0,1.0,10.0,-32.0,Pass,Complete,49.0,,Christopher Mil,Complete,Tim Garlick,,,,Dan DiBeneditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Moravian,D,MOR,1,,1.0,3.0,1.0,10.0,19.0,Run,Rush,1.0,Carrington Smit,,,,,,,Calvin Krippner,Jake Perloski,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Moravian,D,MOR,1,,1.0,4.0,2.0,9.0,18.0,Pass,Complete,3.0,,Christopher Mil,Complete,Nick Petros,,,,Colin Lavigne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Moravian,D,MOR,1,,1.0,5.0,3.0,12.0,21.0,Pass,Incomplete,0.0,,Christopher Mil,Incomplete,Nick Petros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed FG,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Moravian,K,MOR,1,,,,4.0,12.0,21.0,FG Block,No Good,,,,,,,,,,,,,,,,,,,,,,,,,,,Trevor Yacubosk,38.0,No Good,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Moravian,O,M,1,,1.0,1.0,0.0,10.0,-21.0,Pass,Complete,13.0,,Logan Clouse,Complete,Drew Benfatti,,,,Justin McRae,Jackson Buskirk,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:12,1632,0,0,0,3,3,3,,,,,,,
9,Moravian,O,M,1,,1.0,2.0,1.0,10.0,-34.0,Run,Rush,5.0,Jermaine Conyer,,,,,,,Renard Nicholso,Jeremiah Espino,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:12,1632,0,0,0,3,3,3,,,,,,,
10,Moravian,,M,1,,,,2.0,5.0,-39.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:12,1632,0,0,0,3,3,3,,,,,,,5.0
11,Moravian,O,M,1,,1.0,3.0,2.0,10.0,-34.0,Pass,Incomplete,0.0,,Logan Clouse,Incomplete,Will Higson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:12,1632,0,0,0,3,3,3,,,,,,,
12,Moravian,O,M,1,,1.0,4.0,3.0,10.0,-34.0,Pass,Incomplete,0.0,,Logan Clouse,Incomplete,Tim Walters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,12:12,1632,0,0,0,3,3,3,,,,,,,
13,Moravian,K,M,1,,,,4.0,10.0,-34.0,Punt,,,,,,,,,,Matt Scully,,,,,,,Connor Lyon,5,36.0,,,,,Jack Rodenberge,35.0,-31.0,,,,,,,,,,,,,12:12,1632,0,0,0,3,3,3,,,,,,,
14,Moravian,D,MOR,1,,2.0,1.0,0.0,10.0,-36.0,Run,Rush,26.0,Nate Boyle,,,,,,,Colin Lavigne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:59,1499,0,0,0,3,3,3,,,,,,,
15,Moravian,D,MOR,1,,2.0,2.0,1.0,10.0,38.0,Run,Rush,4.0,Nate Boyle,,,,,,,Luke Strauss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:59,1499,0,0,0,3,3,3,,,,,,,
16,Moravian,D,MOR,1,,2.0,3.0,2.0,6.0,34.0,Run,Rush,4.0,Nate Boyle,,,,,,,Dan DiBeneditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:59,1499,0,0,0,3,3,3,,,,,,,
17,Moravian,D,MOR,1,,2.0,4.0,3.0,2.0,30.0,Run,Rush,4.0,Nate Boyle,,,,,,,Thomas Downs,Peter Orio,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:59,1499,0,0,0,3,3,3,,,,,,,
18,Moravian,D,MOR,1,,2.0,5.0,1.0,10.0,26.0,Pass,Complete,0.0,,Christopher Mil,Complete,Nick Petros,,,,Zhymir Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:59,1499,0,0,0,3,3,3,,,,,,,
19,Moravian,D,MOR,1,,2.0,6.0,2.0,10.0,26.0,Run,Rush,0.0,Nate Boyle,,,,,,,Kevonte Beard,Brian Lafty,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:59,1499,0,0,0,3,3,3,,,,,,,
20,Moravian,D,MOR,1,,2.0,7.0,3.0,10.0,26.0,Pass,Complete,26.0,,Christopher Mil,Complete,Trevor Cunningh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,TD,09:59,1499,0,0,0,3,3,3,,,,,,,
21,Moravian,K,MOR,1,,,,,,,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,Trevor Yacubosk,,,Good,,,,,,,,06:02,1262,6,0,-6,3,3,3,,,,,,,
22,Moravian,K,MOR,1,,,,,,,KO Ret,Out of bounds,,,,,,,,,,,,,,,,,,,Trevor Yacubosk,40.0,25.0,Out of bounds,,,,,,,,,,,,,,,,06:02,1262,7,0,-7,3,3,3,,,,,,,
23,Moravian,O,M,1,,2.0,1.0,0.0,10.0,-35.0,Run,Rush,2.0,Keshon Farmer,,,,,,,Brandon Nemeth,Renard Nicholso,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:02,1262,0,7,-7,3,3,3,,,,,,,
24,Moravian,O,M,1,,2.0,2.0,2.0,8.0,-37.0,Run,Rush,4.0,Keshon Farmer,,,,,,,Brady Hornbaker,Jeremiah Espino,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:02,1262,0,7,-7,3,3,3,,,,,,,
25,Moravian,O,M,1,,2.0,3.0,3.0,4.0,-41.0,Pass,Incomplete,0.0,,Logan Clouse,Incomplete,Ben Moir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,06:02,1262,0,7,-7,3,3,3,,,,,,,
26,Moravian,K,M,1,,,,4.0,4.0,-41.0,Punt,,,,,,,,,,Mitch Wagner,,,,,,,Connor Lyon,0,17.0,,,,,Jack Rodenberge,42.0,-17.0,,,,,,,,,,,,,06:02,1262,0,7,-7,3,3,3,,,,,,,
27,Moravian,D,MOR,1,,3.0,1.0,0.0,10.0,-17.0,Pass,Complete,5.0,,Christopher Mil,Complete,Chris Carpini,,,,Dan DiBeneditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:23,1163,7,0,-7,3,3,3,,,,,,,
28,Moravian,D,MOR,1,,3.0,2.0,2.0,5.0,-22.0,Run,Rush,8.0,Nate Boyle,,,,,,,Thomas Downs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:23,1163,7,0,-7,3,3,3,,,,,,,
29,Moravian,D,MOR,1,,3.0,3.0,1.0,10.0,-30.0,Run,Rush,0.0,Nate Boyle,,,,,,,Kyle Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:23,1163,7,0,-7,3,3,3,,,,,,,
30,Moravian,D,MOR,1,,3.0,4.0,2.0,10.0,-30.0,Run,Rush,17.0,Nate Boyle,,,,,,,Thomas Downs,Isaiah Chery,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:23,1163,7,0,-7,3,3,3,,,,,,,
31,Moravian,D,MOR,1,,3.0,5.0,1.0,10.0,-47.0,Run,Rush,8.0,Nate Boyle,,,,,,,Thomas Downs,Dan DiBeneditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:23,1163,7,0,-7,3,3,3,,,,,,,
32,Moravian,D,MOR,1,,3.0,6.0,2.0,2.0,45.0,Pass,Incomplete,0.0,,Christopher Mil,Incomplete,Trevor Cunningh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,04:23,1163,7,0,-7,3,3,3,,,,,,,15.0
