PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Gettysburg,K,GC,1,,,,,,,KO Ret,,,,,,,,,,,,,,,,,Matt Scully,95,0.0,Doug Cummings,60.0,5.0,,,,,,,,,,,,,True,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Gettysburg,K,FMC,1,,,,,,,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,Laurence Miller,,,Good,,,,,,,,14:47,1787,0,0,0,3,3,3,,,,,,,
3,Gettysburg,K,FMC,1,,,,,,,KO,,,,,,,,,,,,,,,,,,,,Jack Rodenberge,65.0,0.0,,,,,,,,,,,,,,,,,14:47,1787,1,0,1,3,3,3,,,,,,,
4,Gettysburg,D,GC,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,1.0,Chris Vass,,,,,,,Kevonte Beard,Brian Lafty,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:47,1787,0,1,1,3,3,3,,,,,,,
5,Gettysburg,D,GC,1,,1.0,2.0,2.0,9.0,-26.0,Run,Rush,2.0,Chris Vass,,,,,,,Kevonte Beard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:47,1787,0,1,1,3,3,3,,,,,,,
6,Gettysburg,D,GC,1,,1.0,3.0,3.0,7.0,-28.0,Pass,Incomplete,0.0,,Logan Edmond,Incomplete,Peter Chelap,,,,Colin Lavigne,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:47,1787,0,1,1,3,3,3,,,,,,,
7,Gettysburg,K,GC,1,,,,4.0,7.0,-28.0,Punt Ret,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,Doug Cummings,22.0,50.0,Out of bounds,,,,,,,,,,,,14:47,1787,0,1,1,3,3,3,,,,,,,
8,Gettysburg,O,FMC,1,,1.0,1.0,0.0,10.0,-50.0,Run,Rush,28.0,Jermaine Conyer,,,,,,,Justin Adedinse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:15,1695,1,0,1,3,3,3,,,,,,,
9,Gettysburg,O,FMC,1,,1.0,2.0,1.0,10.0,22.0,Run,Rush,2.0,Jermaine Conyer,,,,,,,Mike Galaida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:15,1695,1,0,1,3,3,3,,,,,,,
10,Gettysburg,O,FMC,1,,1.0,3.0,2.0,8.0,20.0,Pass,Complete,20.0,,Logan Clouse,Complete,Drew Benfatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,TD,13:15,1695,1,0,1,3,3,3,,,,,,,
11,Gettysburg,K,FMC,1,,,,,,,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,Laurence Miller,,,Good,,,,,,,,11:55,1615,7,0,7,3,3,3,,,,,,,
12,Gettysburg,K,FMC,1,,,,,,,KO,,,,,,,,,,,,,,,,,,,,Jack Rodenberge,65.0,0.0,,,,,,,,,,,,,,,,,11:55,1615,8,0,8,3,3,3,,,,,,,
13,Gettysburg,D,GC,1,,2.0,1.0,0.0,10.0,-25.0,Pass,Sack,-7.0,,Logan Edmond,Sack,,,,,Kevonte Beard,,True,GC Logan,,GC,Logan Edmond,,,,,,,,,,,,,,,,,,,,,,,11:55,1615,0,8,8,3,3,3,,,,,,,
14,Gettysburg,D,GC,1,,2.0,2.0,2.0,17.0,-18.0,Run,Rush,3.0,Sebastian Gibbs,,,,,,,Calvin Krippner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:55,1615,0,8,8,3,3,3,,,,,,,
15,Gettysburg,D,GC,1,,2.0,3.0,3.0,14.0,-21.0,Pass,Incomplete,0.0,,Logan Edmond,Incomplete,Max Schelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:55,1615,0,8,8,3,3,3,,,,,,,
16,Gettysburg,D,GC,1,,2.0,4.0,4.0,14.0,-21.0,Run,Rush,-5.0,TEAM rush,,,,,,,Danny Solecki,,True,GC Doug,,GC,Doug Cummings,,,,,,,,,,,,,,,,,,,,,,Fumble,11:55,1615,0,8,8,3,3,3,,,,,,,
17,Gettysburg,D,GC,1,,2.0,5.0,1.0,10.0,-16.0,Run,Rush,16.0,Keshon Farmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,TD,10:30,1530,0,8,8,3,3,3,,,,,,,
18,Gettysburg,K,GC,1,,,,,,,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,Laurence Miller,,,Good,,,,,,,,10:25,1525,6,8,2,3,3,3,,,,,,,
19,Gettysburg,K,GC,1,,,,,,,KO Ret,Out of bounds,,,,,,,,,,,,,,,,,,,Jack Rodenberge,60.0,-5.0,Out of bounds,,,,,,,,,,,,,,,,10:25,1525,0,21,1,3,3,3,,,,,,,
20,Gettysburg,O,FMC,1,,2.0,1.0,0.0,10.0,35.0,Run,Rush,3.0,Chris Vass,,,,,,,Ben Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:25,1525,21,0,1,3,3,3,,,,,,,
21,Gettysburg,O,FMC,1,,2.0,2.0,2.0,7.0,38.0,Run,Rush,0.0,Chris Vass,,,,,,,Kyle Addis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:25,1525,21,0,1,3,3,3,,,,,,,
22,Gettysburg,O,FMC,1,,2.0,3.0,3.0,7.0,38.0,Pass,Incomplete,0.0,,Logan Edmond,Incomplete,Sal DeBenedetto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:25,1525,21,0,1,3,3,3,,,,,,,
23,Gettysburg,K,FMC,1,,,,4.0,7.0,38.0,Punt,,,,,,,,,,Alex Raimondo,,,,,,,Dan DiBeneditto,8,-34.0,,,,,Doug Cummings,36.0,-26.0,,,,,,,,,,,,,10:25,1525,21,0,1,3,3,3,,,,,,,
24,Gettysburg,D,GC,1,,3.0,1.0,0.0,10.0,34.0,Run,Rush,0.0,Jermaine Conyer,,,,,,,Johnny O'Beirne,Jr. Rich Cardac,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:59,1439,0,21,1,3,3,3,,,,,,,
25,Gettysburg,D,GC,1,,3.0,2.0,2.0,10.0,34.0,Pass,Incomplete,0.0,,Logan Clouse,Incomplete,Tim Walters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:59,1439,0,21,1,3,3,3,,,,,,,
26,Gettysburg,D,GC,1,,3.0,3.0,3.0,10.0,34.0,Pass,Incomplete,0.0,,Logan Clouse,Incomplete,Jack O'Hearen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,08:59,1439,0,21,1,3,3,3,,,,,,,
27,Gettysburg,K,GC,1,,,,4.0,10.0,34.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,Jack Rodenberge,21.0,-45.0,,,,,,,,,,,,,08:59,1439,0,21,1,3,3,3,,,,,,,
28,Gettysburg,O,FMC,1,,3.0,1.0,0.0,10.0,45.0,Run,Rush,3.0,Sebastian Gibbs,,,,,,,Dan DiBeneditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:06,1386,21,0,1,3,3,3,,,,,,,
29,Gettysburg,O,FMC,1,,3.0,2.0,2.0,7.0,48.0,Run,Rush,3.0,Sebastian Gibbs,,,,,,,Owen Walsh,Thomas Downs,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:06,1386,21,0,1,3,3,3,,,,,,,
30,Gettysburg,O,FMC,1,,3.0,3.0,3.0,4.0,-49.0,Pass,Complete,4.0,,Logan Edmond,Complete,Sebastian Gibbs,,,,Dan DiBeneditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:06,1386,21,0,1,3,3,3,,,,,,,
31,Gettysburg,O,FMC,1,,3.0,4.0,1.0,10.0,-45.0,Run,Rush,5.0,Sebastian Gibbs,,,,,,,Thomas Downs,Dan DiBeneditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:06,1386,21,0,1,3,3,3,,,,,,,
32,Gettysburg,O,FMC,1,,3.0,5.0,2.0,5.0,-40.0,Run,Rush,7.0,Nick Riggio,,,,,,,Thomas Downs,Luke Strauss,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:06,1386,21,0,1,3,3,3,,,,,,,
33,Gettysburg,O,FMC,1,,3.0,6.0,1.0,10.0,-33.0,Run,Rush,1.0,Nick Riggio,,,,,,,Ben Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:06,1386,21,0,1,3,3,3,,,,,,,
34,Gettysburg,O,FMC,1,,3.0,7.0,2.0,9.0,-32.0,Run,Rush,-1.0,Nick Riggio,,,,,,,Kevonte Beard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:06,1386,21,0,1,3,3,3,,,,,,,
35,Gettysburg,O,FMC,1,,3.0,8.0,3.0,10.0,-33.0,Pass,Complete,11.0,,Logan Edmond,Complete,Sebastian Gibbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:06,1386,21,0,1,3,3,3,,,,,,,
36,Gettysburg,O,FMC,1,,3.0,9.0,1.0,10.0,-22.0,Run,Rush,0.0,Sebastian Gibbs,,,,,,,Kevonte Beard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:06,1386,21,0,1,3,3,3,,,,,,,
37,Gettysburg,O,FMC,1,,3.0,10.0,2.0,10.0,-22.0,Run,Rush,2.0,Matt Lajoie,,,,,,,Luke Strauss,Calvin Krippner,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:06,1386,21,0,1,3,3,3,,,,,,,
38,Gettysburg,O,FMC,1,,3.0,11.0,3.0,8.0,-20.0,Pass,Interception,0.0,,Logan Edmond,Interception,,,Amare Conley,,Drew Walton,Sal DeBenedetto,,,,,,Amare Conley,,-18.0,,,,,,,,,,,,,,,,,,,Interception,08:06,1386,21,0,1,3,3,3,,,,,,,
39,Gettysburg,D,GC,1,,4.0,1.0,0.0,10.0,16.0,Pass,Complete,32.0,,Logan Clouse,Complete,Drew Benfatti,,,,Von Musgrove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:20,1040,0,21,1,3,3,3,,,,,,,
40,Gettysburg,D,GC,1,,4.0,2.0,1.0,10.0,48.0,Run,Rush,8.0,Keshon Farmer,,,,,,,Mike Galaida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:20,1040,0,21,1,3,3,3,,,,,,,
41,Gettysburg,D,GC,1,,4.0,3.0,2.0,2.0,-44.0,Run,Rush,4.0,Keshon Farmer,,,,,,,Von Musgrove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:20,1040,0,21,1,3,3,3,,,,,,,
42,Gettysburg,D,GC,1,,4.0,4.0,1.0,10.0,-40.0,Run,Rush,1.0,Keshon Farmer,,,,,,,Johnny O'Beirne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:20,1040,0,21,1,3,3,3,,,,,,,
43,Gettysburg,D,GC,2,,4.0,5.0,2.0,9.0,-39.0,Run,Rush,9.0,Keshon Farmer,,,,,,,Chris Lessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,21,1,3,3,3,personal foul,GC,Chris Lessel,,,,15.0
44,Gettysburg,D,GC,2,,4.0,6.0,1.0,10.0,-15.0,Run,Rush,-1.0,Keshon Farmer,,,,,,,Chris Lessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,21,1,3,3,3,,,,,,,
45,Gettysburg,D,GC,2,,4.0,7.0,2.0,11.0,-16.0,Pass,Incomplete,0.0,,Logan Clouse,Incomplete,Tim Walters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,21,1,3,3,3,,,,,,,
