PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,(RV) Susquehanna,K,FMC,1,,,,,,,KO,Return,,,,,,,,,Jacob Hille,Will Higson,,,,,,Keith Green,14,17.0,J. Rodenberger,62.0,3.0,Return,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,(RV) Susquehanna,D,SUS,1,,1.0,1.0,0.0,10.0,-17.0,Run,Rush,2.0,Frankie Negrini,,,,,,,Peyton Snopek,Jake Perloski,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,(RV) Susquehanna,D,SUS,1,,1.0,2.0,2.0,8.0,-19.0,Pass,Complete,8.0,,Michael Ruisch,Complete,Eddie Nugent,,,,Luke Strauss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,(RV) Susquehanna,D,SUS,1,,1.0,3.0,1.0,10.0,-27.0,Pass,Complete,22.0,,Michael Ruisch,Complete,Samuel Darrell,,,,Dan DiBeneditto,Jacob Hille,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,(RV) Susquehanna,D,SUS,1,,1.0,4.0,1.0,10.0,-49.0,Pass,Complete,7.0,,Michael Ruisch,Complete,Michael Lefever,,,,Kell Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,(RV) Susquehanna,D,SUS,1,,1.0,5.0,2.0,3.0,44.0,Pass,Complete,9.0,,Michael Ruisch,Complete,Samuel Darrell,,,,Dan DiBeneditto,Kell Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,(RV) Susquehanna,D,SUS,1,,1.0,6.0,1.0,10.0,35.0,Pass,Complete,29.0,,Michael Ruisch,Complete,Kyle Good,,,,Dan DiBeneditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,(RV) Susquehanna,D,SUS,1,,1.0,7.0,1.0,6.0,6.0,Run,Rush,-3.0,Frankie Negrini,,,,,,,Calvin Krippner,James Gilmartin,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,(RV) Susquehanna,D,SUS,1,,1.0,8.0,2.0,9.0,9.0,Run,Rush,2.0,Frankie Negrini,,,,,,,Calvin Krippner,Jack O'Hearen,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,(RV) Susquehanna,D,SUS,1,,1.0,9.0,3.0,7.0,7.0,Pass,Interception,0.0,,Michael Ruisch,Interception,,,Peter Orio,,,,,,,,,Peter Orio,1,2.0,,,,,,,,,,,,,,,,,,,Interception,15:00,1800,0,0,0,3,3,3,,,,,,,
11,(RV) Susquehanna,O,FMC,1,,1.0,1.0,0.0,10.0,-3.0,Run,Rush,1.0,J. Conyers,,,,,,,Cameron Noble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:58,1498,0,0,0,3,3,3,,,,,,,
12,(RV) Susquehanna,O,FMC,1,,1.0,2.0,2.0,9.0,-4.0,Run,Rush,1.0,J. Conyers,,,,,,,Brendan Krumena,Riley Gaughan,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:58,1498,0,0,0,3,3,3,,,,,,,
13,(RV) Susquehanna,O,FMC,1,,1.0,3.0,3.0,8.0,-5.0,Pass,Incomplete,0.0,,Logan Clouse,Incomplete,Tim Walters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,09:58,1498,0,0,0,3,3,3,,,,,,,
14,(RV) Susquehanna,K,FMC,1,,,,4.0,8.0,-5.0,Punt,Return,,,,,,,,,Luke Dauberman,,,,,,,Kyle Good,12,-40.0,,,,,J. Rodenberger,47.0,48.0,Return,,,,,,,,,,,,09:58,1498,0,0,0,3,3,3,,,,,,,
15,(RV) Susquehanna,D,SUS,1,,2.0,1.0,0.0,10.0,40.0,Run,Rush,16.0,Frankie Negrini,,,,,,,Calvin Krippner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:09,1389,0,0,0,3,3,3,,,,,,,
16,(RV) Susquehanna,D,SUS,1,,2.0,2.0,1.0,10.0,24.0,Run,Rush,4.0,Frankie Negrini,,,,,,,Peter Orio,James Gilmartin,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:09,1389,0,0,0,3,3,3,,,,,,,
17,(RV) Susquehanna,,SUS,1,,,,2.0,6.0,20.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:09,1389,0,0,0,3,3,3,false start,SUS,Cole Spencer,,,,5.0
18,(RV) Susquehanna,D,SUS,1,,2.0,3.0,2.0,11.0,25.0,Pass,Incomplete,0.0,,Michael Ruisch,Incomplete,Eddie Nugent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:09,1389,0,0,0,3,3,3,,,,,,,
