PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,#17 Muhlenberg,K,MUHL,1,,,,,,,KO Ret,,,,,,,,,,,,,,,,,,,,Nick Stannard,27.0,38.0,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,#17 Muhlenberg,O,FMC,1,,1.0,1.0,0.0,10.0,-38.0,Pass,Incomplete,0.0,,Logan Clouse,Incomplete,Drew Benfatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:59,1799,0,0,0,3,3,3,,,,,,,
3,#17 Muhlenberg,O,FMC,1,,1.0,2.0,2.0,10.0,-38.0,Run,Rush,11.0,J. Conyers,,,,,,,John Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:59,1799,0,0,0,3,3,3,,,,,,,
4,#17 Muhlenberg,O,FMC,1,,1.0,3.0,1.0,10.0,-49.0,Run,Rush,0.0,J. Conyers,,,,,,,Pat Palmer,Jay McGill,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:59,1799,0,0,0,3,3,3,,,,,,,
5,#17 Muhlenberg,O,FMC,1,,1.0,4.0,2.0,10.0,-49.0,Run,Rush,4.0,J. Conyers,,,,,,,Isaiah Lobelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:59,1799,0,0,0,3,3,3,,,,,,,
6,#17 Muhlenberg,O,FMC,1,,1.0,5.0,3.0,6.0,47.0,Run,Rush,3.0,Logan Clouse,,,,,,,Joshua Barnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:59,1799,0,0,0,3,3,3,,,,,,,
7,#17 Muhlenberg,K,FMC,1,,,,4.0,3.0,44.0,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,J. Rodenberger,30.0,14.0,Fair Catch,,,,,,,,,,,,14:59,1799,0,0,0,3,3,3,,,,,,,
8,#17 Muhlenberg,D,MUHL,1,,1.0,1.0,0.0,10.0,-14.0,Run,Rush,4.0,Michael Hnatkow,,,,,,,Jake Perloski,Luke Strauss,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:00,1620,0,0,0,3,3,3,,,,,,,
9,#17 Muhlenberg,D,MUHL,1,,1.0,2.0,2.0,6.0,-18.0,Run,Rush,3.0,Rory DeLuca,,,,,,,Kevonte Beard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:00,1620,0,0,0,3,3,3,,,,,,,
10,#17 Muhlenberg,D,MUHL,1,,1.0,3.0,3.0,3.0,-21.0,Pass,Complete,9.0,,Michael Hnatkow,Complete,Michael Feaster,,,,Dan DiBeneditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:00,1620,0,0,0,3,3,3,,,,,,,
11,#17 Muhlenberg,D,MUHL,1,,1.0,4.0,1.0,10.0,-30.0,Run,Rush,6.0,Mitch Daniel,,,,,,,Calvin Krippner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:00,1620,0,0,0,3,3,3,,,,,,,
12,#17 Muhlenberg,D,MUHL,1,,1.0,5.0,2.0,4.0,-36.0,Run,Rush,4.0,Rory DeLuca,,,,,,,Ben Wright,Luke Dauberman,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:00,1620,0,0,0,3,3,3,,,,,,,
13,#17 Muhlenberg,D,MUHL,1,,1.0,6.0,1.0,10.0,-40.0,Pass,Complete,5.0,,Michael Hnatkow,Complete,Thomas Jenkins,,,,Zhymir Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:00,1620,0,0,0,3,3,3,,,,,,,
14,#17 Muhlenberg,D,MUHL,1,,1.0,7.0,2.0,5.0,-45.0,Run,Rush,5.0,Ethan Brader,,,,,,,Dan DiBeneditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:00,1620,0,0,0,3,3,3,,,,,,,
15,#17 Muhlenberg,D,MUHL,1,,1.0,8.0,1.0,10.0,-50.0,Run,Rush,-1.0,Ethan Brader,,,,,,,Brian Lafty,Calvin Krippner,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:00,1620,0,0,0,3,3,3,,,,,,,
