PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
21,(RV) Ursinus,D,UC,1,,2.0,1.0,0.0,10.0,-22.0,Pass,Complete,8.0,,Jack Psenicska,Complete,Kevin DePrince,,,,Kell Hall,Dan DiBeneditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:11,1271,7,0,-7,3,3,3,,,,,,,
22,(RV) Ursinus,D,UC,1,,2.0,2.0,2.0,2.0,-30.0,Run,Rush,4.0,Samuel Ragland,,,,,,,Dan DiBeneditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:11,1271,7,0,-7,3,3,3,,,,,,,
23,(RV) Ursinus,D,UC,1,,2.0,3.0,1.0,10.0,-34.0,Run,Rush,-1.0,Samuel Ragland,,,,,,,Kevonte Beard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:11,1271,7,0,-7,3,3,3,,,,,,,
24,(RV) Ursinus,D,UC,1,,2.0,4.0,2.0,11.0,-33.0,Pass,Sack,-4.0,,Jack Psenicska,Sack,,,,,Bobby Buchys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:11,1271,7,0,-7,3,3,3,,,,,,,
25,(RV) Ursinus,D,UC,1,,2.0,5.0,3.0,15.0,-29.0,Pass,Incomplete,0.0,,Jack Psenicska,Incomplete,Dash Dulgerian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,06:11,1271,7,0,-7,3,3,3,,,,,,,
26,(RV) Ursinus,K,UC,1,,,,4.0,15.0,-29.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,Billy Cook,54.0,17.0,,,,,,,,,,,,,06:11,1271,7,0,-7,3,3,3,,,,,,,
27,(RV) Ursinus,O,FMC,1,,2.0,1.0,0.0,10.0,-17.0,Run,Rush,13.0,Jermaine Conyer,,,,,,,Aaron Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:25,1105,0,7,-7,3,3,3,,,,,,,
28,(RV) Ursinus,O,FMC,1,,2.0,2.0,1.0,10.0,-30.0,Run,Rush,5.0,Jermaine Conyer,,,,,,,Jeffrey Lockwoo,Anthony Trazzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:25,1105,0,7,-7,3,3,3,,,,,,,
29,(RV) Ursinus,O,FMC,1,,2.0,3.0,2.0,5.0,-35.0,Pass,Incomplete,0.0,,Logan Clouse,Incomplete,Ben Moir,,,,Brett Gross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:25,1105,0,7,-7,3,3,3,,,,,,,
30,(RV) Ursinus,O,FMC,1,,2.0,4.0,3.0,5.0,-35.0,Pass,Complete,5.0,,Logan Clouse,Complete,Ben Moir,,,,Ryan DiVergilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:25,1105,0,7,-7,3,3,3,,,,,,,
31,(RV) Ursinus,O,FMC,1,,2.0,5.0,1.0,10.0,-40.0,Run,Rush,3.0,Jermaine Conyer,,,,,,,Anthony Reginel,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,03:25,1105,0,7,-7,3,3,3,illegal formation,FMC,,,,,5.0
32,(RV) Ursinus,O,FMC,1,,2.0,6.0,1.0,15.0,-35.0,Run,Rush,3.0,Jermaine Conyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:25,1105,0,7,-7,3,3,3,,,,,,,
33,(RV) Ursinus,O,FMC,1,,2.0,7.0,2.0,12.0,-38.0,Run,Rush,0.0,Logan Clouse,,,,,,,Brett Gross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:25,1105,0,7,-7,3,3,3,,,,,,,
34,(RV) Ursinus,O,FMC,2,,2.0,8.0,3.0,12.0,-38.0,Pass,Incomplete,0.0,,Logan Clouse,Incomplete,Danny Solecki,,,,Ryan DiVergilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,900,0,7,-7,3,3,3,,,,,,,
35,(RV) Ursinus,K,FMC,2,,,,4.0,12.0,-38.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,J. Rodenberger,37.0,25.0,,,,,,,,,,,,,15:00,900,0,7,-7,3,3,3,,,,,,,
36,(RV) Ursinus,D,UC,2,,3.0,1.0,0.0,10.0,-25.0,Pass,Complete,7.0,,Jack Psenicska,Complete,Kevin DePrince,,,,Calvin Krippner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:47,887,7,0,-7,3,3,3,,,,,,,
37,(RV) Ursinus,D,UC,2,,3.0,2.0,2.0,3.0,-32.0,Run,Rush,-2.0,Jack Psenicska,,,,,,,Bobby Buchys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:47,887,7,0,-7,3,3,3,,,,,,,
38,(RV) Ursinus,D,UC,2,,3.0,3.0,3.0,5.0,-30.0,Pass,Incomplete,0.0,,Jack Psenicska,Incomplete,Nick Schnaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:47,887,7,0,-7,3,3,3,,,,,,,
39,(RV) Ursinus,K,UC,2,,,,4.0,5.0,-30.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,Billy Cook,59.0,11.0,,,,,,,,,,,,,14:47,887,7,0,-7,3,3,3,,,,,,,
40,(RV) Ursinus,O,FMC,2,,3.0,1.0,0.0,10.0,-11.0,Pass,Complete,34.0,,Logan Clouse,Complete,Tim Walters,,,,Aaron Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:18,798,0,7,-7,3,3,3,,,,,,,
41,(RV) Ursinus,O,FMC,2,,3.0,2.0,1.0,10.0,-45.0,Run,Rush,0.0,Keshon Farmer,,,,,,,Anthony Reginel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:18,798,0,7,-7,3,3,3,,,,,,,
42,(RV) Ursinus,O,FMC,2,,3.0,3.0,2.0,10.0,-45.0,Run,Rush,1.0,Logan Clouse,,,,,,,Brendan Shadle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:18,798,0,7,-7,3,3,3,,,,,,,
