PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Stevenson,K,STE,1,,,,,,,KO Ret,Return,,,,,,,,,Sean Sullivan,,,,,,,Gabe Boccella,15,23.0,Zachary Rutsch,57.0,8.0,Return,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Stevenson,O,KINGS,1,,1.0,1.0,0.0,10.0,-23.0,Run,Rush,5.0,B. Robinson,,,,,,,Ethan Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
3,Stevenson,O,KINGS,1,,1.0,2.0,2.0,5.0,-28.0,Pass,Complete,9.0,,Tekoah Guedes,Complete,Joe Herman,,,,Orion Twitty,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
4,Stevenson,O,KINGS,1,,1.0,3.0,1.0,10.0,-37.0,Run,Rush,8.0,B. Robinson,,,,,,,Orion Twitty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
5,Stevenson,O,KINGS,1,,1.0,4.0,2.0,2.0,-45.0,Pass,Incomplete,0.0,,Tekoah Guedes,Incomplete,B. Robinson,,,,Josh Siegenthal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
6,Stevenson,O,KINGS,1,,1.0,5.0,3.0,2.0,-45.0,Run,Rush,8.0,Tekoah Guedes,,,,,,,Brennen Wright,Sean Sullivan,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
7,Stevenson,O,KINGS,1,,1.0,6.0,1.0,10.0,47.0,Run,Rush,4.0,B. Robinson,,,,,,,Don Jones,Brennen Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
8,Stevenson,O,KINGS,1,,1.0,7.0,2.0,6.0,43.0,Run,Rush,-7.0,Tekoah Guedes,,,,,,,,,True,Tekoah Guedes,,KINGS,B. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
9,Stevenson,O,KINGS,1,,1.0,8.0,3.0,14.0,-49.0,Pass,Incomplete,0.0,,Tekoah Guedes,Incomplete,Gabe Boccella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:55,1795,0,0,0,3,3,3,,,,,,,
10,Stevenson,K,KINGS,1,,,,4.0,14.0,-49.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,Anthony Prato,45.0,6.0,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
