PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,PASSER PBP,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Finlandia,K,FUFB,1,,,,,,,,KO Rec,Return,,,,,,,,,KeJuan Sanders,Marcus Walker,,,,,,Adrian Hinton,11,33.0,Carter Crouch,43.0,22.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Finlandia,O,GUFB,1,,1.0,1.0,0.0,10.0,-33.0,Gold Zone,Run,Rush,-1.0,Paul Garrett,,,,,,,,,True,Paul Garrett,Charlie Garbows,FUFB,Charlie Garbows,,,-32.0,,,,,,,,,,,,,,,,,,,,,,Fumble,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Finlandia,D,FUFB,1,,1.0,1.0,0.0,10.0,32.0,Take A Shot,Run,Rush,2.0,Marcus Walker,,,,,,,Turjon McLaurin,Lakari Benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:35,1775,0,0,0,3,3,3,,,,,,,
4,Finlandia,D,FUFB,1,,1.0,2.0,2.0,8.0,30.0,Take A Shot,Run,Rush,-1.0,Marcus Walker,,,,,,,Dewayne Garrett,Lakari Benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:35,1775,0,0,0,3,3,3,,,,,,,
5,Finlandia,D,FUFB,1,,1.0,3.0,3.0,9.0,31.0,Take A Shot,Pass,Complete,5.0,,Carter Crouch,Complete,Jamari Duncan,,,,Greg Urbanc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:35,1775,0,0,0,3,3,3,,,,,,,
6,Finlandia,D,FUFB,1,,1.0,4.0,4.0,4.0,26.0,Take A Shot,Run,Rush,5.0,Carter Crouch,,,,,,,Greg Urbanc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:35,1775,0,0,0,3,3,3,,,,,,,
7,Finlandia,D,FUFB,1,,1.0,5.0,1.0,10.0,21.0,Take A Shot,Pass,Complete,13.0,,Carter Crouch,Complete,Byron Owens,,,,Greg Urbanc,Javiera Bovell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:35,1775,0,0,0,3,3,3,,,,,,,
8,Finlandia,D,FUFB,1,,1.0,6.0,1.0,8.0,8.0,Red Zone,Run,Rush,-4.0,Marcus Walker,,,,,,,Tabias Coleman,Lakari Benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:35,1775,0,0,0,3,3,3,,,,,,,
9,Finlandia,D,FUFB,1,,1.0,7.0,2.0,12.0,12.0,Red Zone,Pass,Sack,-8.0,,Carter Crouch,Sack,,,,,Javiera Bovell,Turjon McLaurin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:35,1775,0,0,0,3,3,3,,,,,,,
10,Finlandia,D,FUFB,1,,1.0,8.0,3.0,20.0,20.0,Red Zone High,Pass,Sack,-9.0,,Carter Crouch,Sack,,,,,Brandon Martin,Lakari Benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:35,1775,0,0,0,3,3,3,,,,,,,
11,Finlandia,D,FUFB,1,,1.0,9.0,4.0,29.0,29.0,Take A Shot,Pass,Incomplete,0.0,,Carter Crouch,Incomplete,Jamari Duncan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,14:35,1775,0,0,0,3,3,3,offside,GUFB,,,,,5.0
12,Finlandia,D,FUFB,1,,1.0,10.0,4.0,24.0,24.0,Take A Shot,Pass,Incomplete,0.0,,Carter Crouch,Incomplete,Byron Owens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,14:35,1775,0,0,0,3,3,3,,,,,,,
13,Finlandia,O,GUFB,1,,2.0,1.0,0.0,10.0,-24.0,Coming Out,Pass,Incomplete,0.0,,C. Butterfield,Incomplete,Jabree Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,08:48,1428,0,0,0,3,3,3,pass interference,FUFB,,,,,5.0
14,Finlandia,O,GUFB,1,,2.0,2.0,1.0,10.0,-29.0,Gold Zone,Run,Rush,7.0,Paul Garrett,,,,,,,Dave Carlson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:48,1428,0,0,0,3,3,3,,,,,,,
15,Finlandia,O,GUFB,1,,2.0,3.0,2.0,3.0,-36.0,Gold Zone,Pass,Incomplete,0.0,,C. Butterfield,Incomplete,Matthew Tiger,,,,Dave Carlson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:48,1428,0,0,0,3,3,3,,,,,,,
16,Finlandia,O,GUFB,1,,2.0,4.0,3.0,4.0,-36.0,Gold Zone,Run,Rush,-1.0,Paul Garrett,,,,,,,Isaac Codere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,08:48,1428,0,0,0,3,3,3,,,,,,,
17,Finlandia,K,GUFB,1,,,,4.0,5.0,-35.0,Gold Zone,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Dylan Carns,45.0,20.0,,,,,,,,,,,,,,,08:48,1428,0,0,0,3,3,3,,,,,,,
18,Finlandia,D,FUFB,1,,2.0,1.0,0.0,10.0,-20.0,Coming Out,Run,Rush,1.0,Carter Crouch,,,,,,,,,True,Carter Crouch,,FUFB,Joshua Eve,,,,,,,,,,,,,,,,,,,,,,,,,,06:55,1315,0,0,0,3,3,3,,,,,,,
19,Finlandia,D,FUFB,1,,2.0,2.0,2.0,9.0,-21.0,Coming Out,Run,Rush,2.0,Carter Crouch,,,,,,,Tabias Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:55,1315,0,0,0,3,3,3,,,,,,,
20,Finlandia,D,FUFB,1,,2.0,3.0,3.0,7.0,-23.0,Coming Out,Pass,Incomplete,0.0,,Carter Crouch,Incomplete,Byron Owens,,,,Javiera Bovell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,06:55,1315,0,0,0,3,3,3,,,,,,,
21,Finlandia,,FUFB,1,,,,4.0,7.0,-23.0,Coming Out,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finlandia,,,,,,,06:55,1315,0,0,0,3,3,3,,,,,,,
22,Finlandia,K,FUFB,1,,,,4.0,7.0,-23.0,Coming Out,Punt Rec,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,Carter Crouch,22.0,-45.0,Out of bounds,,,,,,,,,,,,,,05:34,1234,0,0,0,3,2,3,,,,,,,
23,Finlandia,O,GUFB,1,,3.0,1.0,0.0,10.0,45.0,Go Zone,Run,Rush,13.0,Adrian Hinton,,,,,,,Cole Stuber,KeJuan Sanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:29,1229,0,0,0,3,3,2,,,,,,,
24,Finlandia,O,GUFB,1,,3.0,2.0,1.0,10.0,32.0,Take A Shot,Run,Rush,2.0,Adrian Hinton,,,,,,,Dave Carlson,McEwen Stapleto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:29,1229,0,0,0,3,3,2,,,,,,,
25,Finlandia,O,GUFB,1,,3.0,3.0,2.0,8.0,30.0,Take A Shot,Pass,Complete,8.0,,C. Butterfield,Complete,Matthew Tiger,,,,Dominic Ingram,Jesse Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:29,1229,0,0,0,3,3,2,,,,,,,
26,Finlandia,O,GUFB,1,,3.0,4.0,1.0,10.0,22.0,Take A Shot,Run,Rush,6.0,Matthew Tiger,,,,,,,McEwen Stapleto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:29,1229,0,0,0,3,3,2,,,,,,,
27,Finlandia,O,GUFB,1,,3.0,5.0,2.0,4.0,16.0,Red Zone High,Run,Rush,2.0,Adrian Hinton,,,,,,,Jesse Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:29,1229,0,0,0,3,3,2,,,,,,,
28,Finlandia,O,GUFB,1,,3.0,6.0,3.0,2.0,14.0,Red Zone High,Run,Rush,14.0,C. Butterfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,05:29,1229,0,0,0,3,3,2,,,,,,,
29,Finlandia,K,GUFB,1,,,,,,,,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucas Hermo,,,Good,,,,,,,,,02:08,1028,6,0,6,3,3,2,,,,,,,
30,Finlandia,K,GUFB,1,,,,,,,,KO,Return,,,,,,,,,G. Stravers,,,,,,,Joshua Eve,14,30.0,Lucas Hermo,49.0,16.0,Return,,,,,,,,,,,,,,,,,,,02:08,1028,7,0,7,3,3,2,,,,,,,
31,Finlandia,D,FUFB,1,,3.0,1.0,0.0,10.0,-30.0,Gold Zone,Run,Rush,45.0,Joshua Eve,,,,,,,Ashton Moultrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:01,1021,0,7,7,3,2,3,,,,,,,
32,Finlandia,D,FUFB,1,,3.0,2.0,1.0,10.0,25.0,Take A Shot,Run,Rush,-1.0,Joshua Eve,,,,,,,Javiera Bovell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:01,1021,0,7,7,3,2,3,,,,,,,
