PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Johns Hopkins,K,JHU,1,,,,,,,KO Ret,,,,,,,,,,,,,,,,,,,,Kyle Battles,65.0,0.0,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Johns Hopkins,O,STE,1,,1.0,1.0,0.0,10.0,-25.0,Pass,Incomplete,0.0,,Ryan Sedgwick,Incomplete,D. Littlejohn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Johns Hopkins,O,STE,1,,1.0,2.0,2.0,10.0,-25.0,Run,Rush,3.0,Kevin Joppy,,,,,,,Joe Tischler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Johns Hopkins,O,STE,1,,1.0,3.0,3.0,7.0,-28.0,Pass,Complete,5.0,,Ryan Sedgwick,Complete,Steven Smothers,,,,Nick Seidel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Johns Hopkins,K,STE,1,,,,4.0,2.0,-33.0,Punt,Return,,,,,,,,,Ed Mannone,,,,,,,Ryan Hubley,2,30.0,,,,,Kevin Sheehan,39.0,28.0,Return,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Johns Hopkins,D,JHU,1,,1.0,1.0,0.0,10.0,-30.0,Pass,Complete,10.0,,Ryan Stevens,Complete,H. Wellmann,,,,Marvin Manassa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:22,1702,0,0,0,3,3,3,holding,JHU,Quinn Revere,,,,10.0
7,Johns Hopkins,D,JHU,1,,1.0,2.0,1.0,10.0,-30.0,Run,Rush,7.0,Danny Wolf,,,,,,,Brennen Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:22,1702,0,0,0,3,3,3,,,,,,,
8,Johns Hopkins,D,JHU,1,,1.0,3.0,2.0,3.0,-37.0,Pass,Complete,5.0,,Ryan Stevens,Complete,Will Leger,,,,Isaiah Snead,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:22,1702,0,0,0,3,3,3,,,,,,,
9,Johns Hopkins,D,JHU,1,,1.0,4.0,1.0,10.0,-42.0,Pass,Incomplete,0.0,,Ryan Stevens,Incomplete,H. Wellmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:22,1702,0,0,0,3,3,3,,,,,,,
10,Johns Hopkins,D,JHU,1,,1.0,5.0,2.0,10.0,-42.0,Run,Rush,6.0,Danny Wolf,,,,,,,Brennen Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:22,1702,0,0,0,3,3,3,,,,,,,
11,Johns Hopkins,D,JHU,1,,1.0,6.0,3.0,4.0,-48.0,Pass,Incomplete,0.0,,Ryan Stevens,Incomplete,H. Wellmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,13:22,1702,0,0,0,3,3,3,holding,STE,Cory Nowlan,,,,10.0
12,Johns Hopkins,D,JHU,1,,1.0,7.0,1.0,10.0,42.0,Run,Rush,2.0,Spencer Uggla,,,,,,,Brennen Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:22,1702,0,0,0,3,3,3,,,,,,,
13,Johns Hopkins,D,JHU,1,,1.0,8.0,2.0,8.0,40.0,Run,Rush,-3.0,Spencer Uggla,,,,,,,Jason Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:22,1702,0,0,0,3,3,3,,,,,,,
14,Johns Hopkins,D,JHU,1,,1.0,9.0,3.0,11.0,43.0,Run,Rush,7.0,Ryan Stevens,,,,,,,Don Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:22,1702,0,0,0,3,3,3,,,,,,,
15,Johns Hopkins,D,JHU,1,,1.0,10.0,4.0,4.0,36.0,Run,Rush,6.0,Ryan Stevens,,,,,,,T. Fitzgerald,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:22,1702,0,0,0,3,3,3,,,,,,,
16,Johns Hopkins,D,JHU,1,,1.0,11.0,1.0,10.0,30.0,Run,Rush,5.0,Danny Wolf,,,,,,,Brennen Wright,Mario McIntyre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:22,1702,0,0,0,3,3,3,,,,,,,
17,Johns Hopkins,D,JHU,1,,1.0,12.0,2.0,5.0,25.0,Run,Rush,4.0,Spencer Uggla,,,,,,,Brennen Wright,Mario McIntyre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:22,1702,0,0,0,3,3,3,,,,,,,
18,Johns Hopkins,,JHU,1,,,,3.0,1.0,21.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stevenson,,,,,,,13:22,1702,0,0,0,3,3,3,,,,,,,
