PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,PASSER PBP,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,DePauw,K,DEN,1,,,,,,,,KO,Touchback,,,,,,,,,,,,,,,,,,,Thomas Gelorme,65.0,0.0,Touchback,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,DePauw,D,DPU,1,,1.0,1.0,0.0,10.0,-25.0,Coming Out,Run,Rush,5.0,Chase Andries,,,,,,,Ryan Hallinan,Cory Swartzmiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,DePauw,D,DPU,1,,1.0,2.0,2.0,5.0,-30.0,Gold Zone,Pass,Complete,8.0,,Chase Andries,Complete,Trey Shaw,,,,Jailen Pierre,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,DePauw,D,DPU,1,,1.0,3.0,1.0,10.0,-38.0,Gold Zone,Run,Rush,3.0,Gus Baumgartner,,,,,,,Collin Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,DePauw,D,DPU,1,,1.0,4.0,2.0,7.0,-41.0,Gold Zone,Run,Rush,3.0,Gus Baumgartner,,,,,,,Jailen Pierre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,DePauw,D,DPU,1,,1.0,5.0,3.0,4.0,-44.0,Gold Zone,Pass,Complete,7.0,,Chase Andries,Complete,Josh Major,,,,Francis Fay,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,DePauw,D,DPU,1,,1.0,6.0,1.0,10.0,49.0,Go Zone,Pass,Complete,39.0,,Chase Andries,Complete,Gabe Quigley,,,,Anthony Rooney,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,DePauw,D,DPU,1,,1.0,7.0,1.0,10.0,10.0,Red Zone,Pass,Incomplete,0.0,,Chase Andries,Incomplete,Trey Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,DePauw,D,DPU,1,,1.0,8.0,2.0,10.0,10.0,Red Zone,Run,Rush,10.0,Chase Andries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
10,DePauw,K,DPU,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joe Sullivan,,,Good,,,,,,,,,11:06,1566,6,0,-6,3,3,3,,,,,,,
11,DePauw,K,DPU,1,,,,1.0,10.0,-35.0,Gold Zone,KO Rec,Return,,,,,,,,,Jack Drake,,,,,,,Jaylin Epps,29,42.0,Jack Drake,52.0,13.0,Return,,,,,,,,,,,,,,,,,,,11:06,1566,7,0,-7,3,3,3,,,,,,,
12,DePauw,O,DEN,1,,1.0,1.0,0.0,10.0,-42.0,Gold Zone,Pass,Incomplete,0.0,,Drew Dawkins,Incomplete,Mack Marston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00,1560,0,7,-7,3,3,3,,,,,,,
13,DePauw,O,DEN,1,,1.0,2.0,2.0,10.0,-42.0,Gold Zone,Run,Rush,6.0,Andrew Blanchard,,,,,,,Liam Pooler,Luke Marsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00,1560,0,7,-7,3,3,3,,,,,,,
14,DePauw,O,DEN,1,,1.0,3.0,3.0,4.0,-48.0,Go Zone,Run,Rush,0.0,Andrew Blanchard,,,,,,,Luke Marsh,Ethan Lowry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00,1560,0,7,-7,3,3,3,,,,,,,
15,DePauw,K,DEN,1,,,,4.0,4.0,-48.0,Go Zone,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Thomas Gelorme,39.0,13.0,Fair Catch,,,,,,,,True,,True,,,,11:00,1560,0,7,-7,3,3,3,Running Into The Kicker,DPU,Liam Pooler,,,,5.0
16,DePauw,O,DEN,1,,2.0,1.0,0.0,10.0,47.0,Go Zone,Run,Rush,5.0,Andrew Blanchard,,,,,,,09:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00,1560,0,7,-7,3,3,3,,,,,,,
17,DePauw,O,DEN,1,,2.0,2.0,2.0,5.0,42.0,Go Zone,Run,Rush,-1.0,Drew Dawkins,,,,,,,Daniel Rafeedie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:21,1461,0,7,-7,3,3,3,,,,,,,
18,DePauw,O,DEN,1,,2.0,3.0,3.0,6.0,43.0,Go Zone,Pass,Incomplete,0.0,,Drew Dawkins,Incomplete,Aidan Brownlee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,09:21,1461,0,7,-7,3,3,3,,,,,,,
19,DePauw,K,DEN,1,,,,4.0,6.0,43.0,Go Zone,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Thomas Gelorme,26.0,17.0,Fair Catch,,,,,,,,,,,,,,09:21,1461,0,7,-7,3,3,3,,,,,,,
20,DePauw,D,DPU,1,,2.0,1.0,0.0,10.0,-17.0,Coming Out,Run,Rush,18.0,Gus Baumgartner,,,,,,,Ryan Hallinan,Cory Swartzmiller,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:49,1369,7,0,-7,3,3,3,,,,,,,
21,DePauw,D,DPU,1,,2.0,2.0,1.0,10.0,-35.0,Gold Zone,Pass,Incomplete,0.0,,Chase Andries,Incomplete,Trey Shaw,Anthony Rooney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:49,1369,7,0,-7,3,3,3,,,,,,,
22,DePauw,D,DPU,1,,2.0,3.0,2.0,10.0,-35.0,Gold Zone,Pass,Complete,12.0,,Chase Andries,Complete,Jaylon Smith,,,,Cory Swartzmiller,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:49,1369,7,0,-7,3,3,3,,,,,,,
23,DePauw,D,DPU,1,,2.0,4.0,1.0,10.0,-47.0,Go Zone,Pass,Complete,13.0,,Chase Andries,Complete,Gabe Quigley,,,,Will Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:49,1369,7,0,-7,3,3,3,,,,,,,
24,DePauw,D,DPU,1,,2.0,5.0,1.0,10.0,40.0,Go Zone,Pass,Complete,7.0,,Chase Andries,Complete,Josh Major,,,,Cory Swartzmiller,Anthony Rooney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:49,1369,7,0,-7,3,3,3,,,,,,,
25,DePauw,D,DPU,1,,2.0,6.0,2.0,3.0,33.0,Take A Shot,Run,Rush,9.0,Gus Baumgartner,,,,,,,Ryan Hallinan,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:49,1369,7,0,-7,3,3,3,,,,,,,
26,DePauw,D,DPU,1,,2.0,7.0,1.0,10.0,24.0,Take A Shot,Pass,Incomplete,0.0,,Chase Andries,Incomplete,Gabe Quigley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:49,1369,7,0,-7,3,3,3,,,,,,,
27,DePauw,,DPU,1,,,,1.0,10.0,24.0,Take A Shot,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DePauw,,,,,,,07:49,1369,7,0,-7,3,3,3,,,,,,,
28,DePauw,D,DPU,1,,2.0,8.0,2.0,10.0,24.0,Take A Shot,Run,Rush,2.0,Chase Andries,,,,,,,Collin Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:50,1190,7,0,-7,3,2,3,,,,,,,
29,DePauw,D,DPU,1,,2.0,9.0,3.0,8.0,22.0,Take A Shot,Pass,Complete,5.0,,Chase Andries,Complete,Josh Major,,,,Cory Swartzmiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,04:50,1190,7,0,-7,3,2,3,,,,,,,
30,DePauw,K,DPU,1,,,,4.0,3.0,17.0,Red Zone High,FG Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joe Sullivan,35.0,Good,,,,,,,,,,04:50,1190,7,0,-7,3,2,3,,,,,,,
31,DePauw,K,DPU,1,,,,1.0,10.0,-35.0,Gold Zone,KO Rec,Return,,,,,,,,,Ben Freel,,,,,,,Andrew Brown,13,25.0,Jack Drake,53.0,12.0,Return,,,,,,,,,,,,,,,,,,,03:25,1105,10,0,-10,3,2,3,,,,,,,
32,DePauw,O,DEN,1,,3.0,1.0,0.0,10.0,-25.0,Coming Out,Run,Rush,6.0,Trey Fabrocini,,,,,,,Joe Zanca,Josh Coons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:21,1101,0,10,-10,3,3,2,,,,,,,
33,DePauw,O,DEN,1,,3.0,2.0,2.0,4.0,-31.0,Gold Zone,Run,Rush,1.0,Trey Fabrocini,,,,,,,David Guhl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:21,1101,0,10,-10,3,3,2,,,,,,,
34,DePauw,O,DEN,1,,3.0,3.0,3.0,3.0,-32.0,Gold Zone,Pass,Incomplete,0.0,,Drew Dawkins,Incomplete,Trey Fabrocini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,03:21,1101,0,10,-10,3,3,2,,,,,,,
