PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,PASSER PBP,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
133,Neb. Wesleyan,K,NWU,3,,,,1.0,,,,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austin Neufeld,,,Good,,,,,,,,,00:08,908,13,34,21,3,3,3,,,,,,,
134,Neb. Wesleyan,K,NWU,3,,,,1.0,10.0,-35.0,Gold Zone,KO Rec,Return,,,,,,,,,Aashton Kirkland,,,,,,,Robert Califf,51,,Zach Fendley,51.0,,Return,,,,,,,,,,,,,,,,,,,00:08,908,14,34,20,3,3,3,,,,,,,
135,Neb. Wesleyan,O,War,3,,11.0,1.0,0.0,10.0,,,Run,Rush,4.0,Austin Griffin,,,,,,,Isaiah Donaldson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:02,902,34,14,20,3,3,3,,,,,,,
136,Neb. Wesleyan,O,War,4,,11.0,2.0,2.0,6.0,,,Run,Rush,60.0,Drake George,,,,,,,Dakota Prorok,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,900,34,14,20,3,3,3,,,,,,,
137,Neb. Wesleyan,O,War,4,,11.0,3.0,1.0,1.0,1.0,Red Zone Low,Run,Rush,1.0,Ethan Lape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,15:00,900,34,14,20,3,3,3,,,,,,,
138,Neb. Wesleyan,K,War,4,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt.,No Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kain Eagle,,,No Good,,,,,,,,,14:14,854,40,14,26,3,3,3,,,,,,,
139,Neb. Wesleyan,K,War,4,,,,1.0,10.0,,,KO,Return,,,,,,,,,Parker Rochford,,,,,,,Victor Guzman,22,31.0,Adijan Muhamedagic,56.0,9.0,Return,,,,,,,,,,,,,,,,,,,14:14,854,40,14,26,3,3,3,,,,,,,
140,Neb. Wesleyan,,NWU,4,,,,1.0,10.0,-31.0,Gold Zone,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neb. Wesleyan,,,,,,,14:04,844,14,40,26,3,3,3,,,,,,,
141,Neb. Wesleyan,D,NWU,4,,11.0,1.0,0.0,10.0,-31.0,Gold Zone,Run,Rush,1.0,Josh Romain,,,,,,,Alex Lahmon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:04,844,14,40,26,3,2,3,,,,,,,
142,Neb. Wesleyan,D,NWU,4,,11.0,2.0,2.0,9.0,-32.0,Gold Zone,Pass,Interception,0.0,,Carter Terry,Interception,,,Antonio Santillan,,Alex Mathis,,,,,,,Antonio Santillan,5,-41.0,,,,,,,,,,,,,,,,,,,,,,Interception,14:04,844,14,40,26,3,2,3,,,,,,,
143,Neb. Wesleyan,O,War,4,,12.0,1.0,0.0,10.0,36.0,Go Zone,Run,Rush,3.0,Austin Griffin,,,,,,,Jacob Gramann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:34,814,40,14,26,3,3,2,,,,,,,
144,Neb. Wesleyan,O,War,4,,12.0,2.0,2.0,7.0,33.0,Take A Shot,Pass,Complete,16.0,,Nile McLaughlin,Complete,Patrick Mulholland,,,,Kodjo Atikpohou,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:34,814,40,14,26,3,3,2,,,,,,,
145,Neb. Wesleyan,O,War,4,,12.0,3.0,1.0,10.0,17.0,Red Zone High,Run,Rush,2.0,Austin Griffin,,,,,,,Tayden Gentrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:34,814,40,14,26,3,3,2,,,,,,,
146,Neb. Wesleyan,O,War,4,,12.0,4.0,2.0,8.0,15.0,Red Zone High,Pass,Complete,2.0,,Nile McLaughlin,Complete,Austin Griffin,,,,Aashton Kirkland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:34,814,40,14,26,3,3,2,,,,,,,
147,Neb. Wesleyan,O,War,4,,12.0,5.0,3.0,10.0,17.0,Red Zone High,Pass,Incomplete,0.0,,Nile McLaughlin,Incomplete,Grant Meth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,13:34,814,40,14,26,3,3,2,,,,,,,
148,Neb. Wesleyan,K,War,4,,,,4.0,10.0,17.0,Red Zone High,FG,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kain Eagle,27.0,Good,,,,,,,,,,13:34,814,40,14,26,3,3,2,,,,,,,
149,Neb. Wesleyan,K,War,4,,,,1.0,10.0,,,KO,Return,,,,,,,,,,,,,,,,Kevin Tims,17,40.0,Adijan Muhamedagic,42.0,23.0,Return,,,,,,,,,,,,,,,,,,,11:02,662,43,14,29,3,3,2,,,,,,,
150,Neb. Wesleyan,D,NWU,4,,12.0,1.0,0.0,10.0,-40.0,Gold Zone,Run,Rush,1.0,Josh Romain,,,,,,,Riley McIntyre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:53,653,14,43,29,3,2,3,,,,,,,
151,Neb. Wesleyan,D,NWU,4,,12.0,2.0,2.0,9.0,-41.0,Gold Zone,Pass,Incomplete,0.0,,Evan Johnson,Incomplete,Brody Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,10:53,653,14,43,29,3,2,3,Ineligible Downfield on Pass,NWU,Adam Weaver,,,,5.0
152,Neb. Wesleyan,D,NWU,4,,12.0,3.0,2.0,14.0,-36.0,Gold Zone,Run,Rush,2.0,Evan Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:53,653,14,43,29,3,2,3,,,,,,,
153,Neb. Wesleyan,D,NWU,4,,12.0,4.0,3.0,12.0,-38.0,Gold Zone,Pass,Incomplete,0.0,,Evan Johnson,Incomplete,Logan Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:53,653,14,43,29,3,2,3,,,,,,,
154,Neb. Wesleyan,K,NWU,4,,,,4.0,12.0,-38.0,Gold Zone,Punt Rec,Return,,,,,,,,,,,,,,,,Ben Bryant,36,,,,,,,Jacob Hohl,36.0,,Return,,,,,,,,,,,,,,10:53,653,14,43,29,3,2,3,,,,,,,
155,Neb. Wesleyan,O,War,4,,13.0,1.0,0.0,10.0,,,Run,Rush,1.0,Austin Griffin,,,,,,,James Lavicky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:27,567,43,14,29,3,3,2,,,,,,,
156,Neb. Wesleyan,O,War,4,,13.0,2.0,2.0,9.0,,,Run,Rush,-7.0,Austin Griffin,,,,,,,,,True,Austin Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:27,567,43,14,29,3,3,2,,,,,,,
157,Neb. Wesleyan,O,War,4,,13.0,3.0,3.0,16.0,,,Pass,Complete,23.0,,Nile McLaughlin,Complete,Thomas Butters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,09:27,567,43,14,29,3,3,2,,,,,,,20.0
